#separator:tab
#html:true
"What did Johnson have great experience in
<br><br>
"	"He had great legislative experience as the Senate Majority Leader
<br><br>

<br><br>
"
"Portion of non white families still live below the poverty line
<br><br>
"	"1/3
<br><br>

<br><br>
"
"What was infant mortality and unemployment rates of non white people compared to white people
<br><br>
"	"Twice
<br><br>

<br><br>
"
"What was a great weakness in Johnson's Great Society
<br><br>
"	"He made politically unrealistic promises and there were weaknesses in the planning and implementation of his anti poverty programmes
<br><br>

<br><br>
"
"What did Johnson say when discussing his great SoCiety and the Vietnam War
<br><br>
"	"He found himself torn between 'the woman I really loved - the great society' and the 'bitch of a war'
<br><br>

<br><br>
"
"What did Johnson say in his January 1966 state of the Union address
<br><br>
"	"He said that America could afford both the Great Society and the Vietnam War but realistically they could not
<br><br>

<br><br>
"
"How much was spent on Vietnam and how much was spent on the great SoCiety
<br><br>
"	"from 1965 to 1973 there was $15.5 billion spent on the Great Society and $120 billion spent in Vietnam
<br><br>

<br><br>
"
"How did the Vietnam War make the great SoCiety unpopular
<br><br>
"	"The war precipitated inflation and tax rises that made it unpopular
<br><br>

<br><br>
"
"What did missouri's governor tell Johnson in 1967
<br><br>
"	"That there was 'no great public support for your Great Society programmes'
<br><br>

<br><br>
"
"What did Richard Nixon describe the war on poverty as
<br><br>
"	"A cruel hoax
<br><br>

<br><br>
"
"What did top aide Joseph califano say
<br><br>
"	"He declared that 'all of us knew that we'd been part of a monumental social revolution'
<br><br>

<br><br>
"
"What did Senate Majority Leader Mike Mansfield say of Johnson
<br><br>
"	"That Johnson had done more than Roosevelt 'ever did or thought of doing'
<br><br>

<br><br>
"
"What did Johnson say which showed his ambitions and understanding of the problem of poverty
<br><br>
"	"'So little have I done, so much I have yet to do'
<br><br>

<br><br>
"
"In the 1960s what percentage of Americans believe their standard of living would continue to prove after the 39% growth in gnp under Kennedy
<br><br>
"	"96%
<br><br>

<br><br>
"
"What was the economy like in 1964
<br><br>
"	"43 months of unbroken business expansion (which was the longest since World War Two), limited inflation, low unemployment and gnp growth
<br><br>

<br><br>
"
"What was the economy like in 1965
<br><br>
"	"It started to show signs of overheating
<br><br>

<br><br>
"
"How did Johnson try to cope with the economy beginning to overheat in 1965
<br><br>
"	"Johnson persuaded labour and industry to prevent inflation by following wage and price guidelines and he approved an interest rate designed to cool economy down
<br><br>

<br><br>
"
"What did Johnson claim about the economy and the American standard of living in 1966
<br><br>
"	"Americans were 'people who lived in abundance unmatched on this globe'
<br><br>

<br><br>
"
"What statistics demonstrated the standard of living and successful economy 1966
<br><br>
"	"In the past five years wages had increased by 35%, corporate earnings by 65%, farmer income by 40% and unemployment was at a 13 year low. However inflation was at its highest in 10 years
<br><br>

<br><br>
"
"What had Johnson hoped funding for the war would come from
<br><br>
"	"A growing economy free of strikes and inflation and a streamlined Congress not tax rises
<br><br>

<br><br>
"
"What did the pressure mount for Johnson to do as time went on
<br><br>
"	"Increase taxes
<br><br>

<br><br>
"
"What happened in late 1966 with the economy
<br><br>
"	"The pressure to raise prices and wages mounted and many workers and employers agreed on inflationary rises in late 1966
<br><br>

<br><br>
"
"What was the budget deficit in 1967
<br><br>
"	"Over $10 billion
<br><br>

<br><br>
"
"What did the budget deficit in 1967 finally persuaded Johnson to do
<br><br>
"	"Seek the tax increases his advisors urged for
<br><br>

<br><br>
"
"What was the percentage rise in consumer prices in 1967
<br><br>
"	"4.5% in the previous 18 months
<br><br>

<br><br>
"
"What was there a slow down of in 1967
<br><br>
"	"Capital investment
<br><br>

<br><br>
"
"What was flatlining in 1967
<br><br>
"	"Industrial production
<br><br>

<br><br>
"
"What happened to retail sales and corporate profits in 1967
<br><br>
"	"Depressed retail sales and lower corporate profits
<br><br>

<br><br>
"
"What was the gnp's performance like in 1967
<br><br>
"	"The GNP's performance in the first quarter of 1967 was the worst since the 1960 recession
<br><br>

<br><br>
"
"What was there an increase in gnp over the summer in autumn 1967
<br><br>
"	"4.5%
<br><br>

<br><br>
"
"What was there a fall in employment to over the summer and autumn 1967
<br><br>
"	"3.8%
<br><br>

<br><br>
"
"In October 1967 what percentage of Americans saw the high cost of living as their number one problem
<br><br>
"	"60%
<br><br>

<br><br>
"
"In October 1967 what percentage of Americans saw Vietnam as their number one problem
<br><br>
"	"5%
<br><br>

<br><br>
"
"What did Johnson say about the economy in 1967
<br><br>
"	"'Uncertainty hangs over our economy'
<br><br>

<br><br>
"
"In 1968 what was the federal budget deficit
<br><br>
"	"$19.8 billion
<br><br>

<br><br>
"
"What was the trade deficit in 1967
<br><br>
"	"$4 billion which was three times that of 1966
<br><br>

<br><br>
"
"What had gold supplies decreased by since 1945
<br><br>
"	"40% and the dollar was weakened
<br><br>

<br><br>
"
