#separator:tab
#html:true
"what did johnson say about diem's assassination
<br><br>
"	"increased US commitment to vietnam
<br><br>

<br><br>
"
"What was Rolling Thunder?
<br><br>
"	"2 march 1965 - The air strike campaign against communist supply routes in Vietnam, 67% of americans supported rolling thunder
<br><br>

<br><br>
"
"what did rolling thunder aim to do
<br><br>
"	"secure US bomber bases, decrease communist infiltration, demoralise NV gov, encourage SV gov
<br><br>

<br><br>
"
"what did the NYT say about US in vietnam
<br><br>
"	"in an 'undeclared and unannounced war'
<br><br>

<br><br>
"
"why would johnson not declare war
<br><br>
"	"fear of inviting soviet and chinese involvement, congress may cut funding to his Great Society
<br><br>

<br><br>
"
"when and where did troops drop?
<br><br>
"	"march 1965 at Da Nang
<br><br>

<br><br>
"
"why did johnson feel confident dropping ground troops
<br><br>
"	"landslide victory
<br><br>

<br><br>
"
"what were johnson's (four) reasons for ground troops
<br><br>
"	"NV aggressors, free world needed securing, NV puppet of expansionist communist powers, ike and jfk had built SV - abandoning would dishonour them
<br><br>

<br><br>
"
"what could appeasement supposedly lead to
<br><br>
"	"third world war
<br><br>

<br><br>
"
"polls revealed that ___ about ground troops
<br><br>
"	"70% behind johnson, 80% believed in domino theory, 47% wanted more ground troops
<br><br>

<br><br>
"
"what did they think was happening in 1967
<br><br>
"	"nov 1967 - the end begins to come into view
<br><br>

<br><br>
"
"when does mcnamara resign
<br><br>
"	"29th nov 1967 - sees the war as unwinnable, no longer agrees with excessive use of explosives
<br><br>

<br><br>
"
"who replaces mcnamara as secretary of defence
<br><br>
"	"clark clifford - he is also critical of excessive force, doubtful of domino theory, keen to pull out
<br><br>

<br><br>
"
"What was the Tet Offensive?
<br><br>
"	"a massive surprise attack by the Vietcong on over 100 South Vietnamese towns and cities in january 1968 during tet (the national holiday). the temporarily infiltrate us embassy in saigon
<br><br>

<br><br>
"
"what role did media coverage play in the tet offensive
<br><br>
"	"drop in support (to around 35%) and rise in anti-occupation in americans
<br><br>

<br><br>
"
"what did walter cronkite say
<br><br>
"	"most trrusted tv reporter: 'what the hell is going on? i thought we were winning the war'
<br><br>

<br><br>
"
"what was johnsons response to cronkite
<br><br>
"	"'if i've lost cronkite then i've lost america'
<br><br>

<br><br>
"
"how was tet a communist defeat
<br><br>
"	"NV took several years to recover, SV had not risen up to help which damaged their claim to being a liberation force, america regained control of SV
<br><br>

<br><br>
"
"how was tet an american defeat?
<br><br>
"	"strengthened communist position in rural areas, SV pop. had not rallied to saigon regime, saigon regime not self-sustaining, media had made it seem a failure
<br><br>

<br><br>
"
"what did a us soldier say that demonstrated the questionableness of american foreign policy
<br><br>
"	"'we had to destroy the town to save it'
<br><br>

<br><br>
"
"what were the total deaths of the Tet offensive?
<br><br>
"	"3895 americans, 4954 SV, 58,373 communists
<br><br>

<br><br>
"
"What was the My Lai Massacre?
<br><br>
"	"March 16, 1968- lieutenant William Calley Jr., massacred 347 innocent civilians in a small village known as My Lai in S. Vietnam. He was searching for Vietcong rebels. stopped by us helicopter
<br><br>

<br><br>
"
"what did the my lai massacre demonstrate
<br><br>
"	"how the inability to fight the vc was driving the americans insane
<br><br>

<br><br>
"
"when did johnson announce he was pulling from the presidential race
<br><br>
"	"31 march 1968 - moral high ground or cowering away? start of de-escalation, he rejects request for more troops
<br><br>

<br><br>
"
"when were peace talks between NV and america
<br><br>
"	"may 1968
<br><br>

<br><br>
"
"What did Johnson say about leaving an impact on Vietnam
<br><br>
"	"'I want to leave the footprints of America there'
<br><br>

<br><br>
"
"Aside from Vietnam what did Johnson aim to do in Europe
<br><br>
"	"Strengthen the Atlantic community through the modernisation of NATO, greater European integration and improved east West relations
<br><br>

<br><br>
"
"What impact did Vietnam have on Americas relations with its western allies
<br><br>
"	"It damaged them
<br><br>

<br><br>
"
"How many foreign allies did the USA have and which of those sent troops to Vietnam
<br><br>
"	"40 foreign allies but only Australia, New Zealand, South Korea and Thailand sent troops to Vietnam, and South Korea and Thailand had been bribed to do so
<br><br>

<br><br>
"
"What role did Japan play
<br><br>
"	"They criticised the escalation but sold supplies to both sides
<br><br>

<br><br>
"
"What did Canadian Prime Minister Lester Pearson do
<br><br>
"	"He made a critical speech in Philadelphia in 1965
<br><br>

<br><br>
"
"Who emerged as one of the most significant critics of the Vietnam War
<br><br>
"	"French Prime Minister Charles de Gaulle. He greatly damaged the United States and divided and weakened the western allies
<br><br>

<br><br>
"
"How did the French Prime Minister de gaulle portray America as unreliable in Europe
<br><br>
"	"He repeatedly told representatives of other nations that as the USA was bogged down in Vietnam it cannot be counted on if the Soviets invaded Europe. This made them appear not able to commit to their Cold War 'responsibility' in Europe
<br><br>

<br><br>
"
"What was the quote from the French Prime Minister of him criticising the Vietnam War
<br><br>
"	"The 'bombing of a very small people by a very large one' in an 'unjust... detestable war'
<br><br>

<br><br>
"
"How did the French Prime Minister take advantage of the American preoccupation in South East Asia
<br><br>
"	"He assumed the leadership of West Europe and undermined US influence. For example, he tried to win West Germany from the western alliance- they remained in NATO but joined France in establishing economic and cultural ties within the eastern bloc despite US opposition
<br><br>

<br><br>
"
"When did France withdraw from NATO and what impact did this have
<br><br>
"	"1966 and this meant 26,000 U.S. troops had to leave NATO's headquarters in France
<br><br>

<br><br>
"
"How did the French Prime Minister try to damage US economy
<br><br>
"	"He encouraged speculation against the dollar in the mid 1960s
<br><br>

<br><br>
"
"Why do people think that the tet offensive was responsible for the start of the withdrawal from Vietnam
<br><br>
"	"Because after Tet, Johnson rejected repeated jcs request for more troops and because of the popular reaction to the media coverage
<br><br>

<br><br>
"
"In what way was the view that the tet offensive was the start of withdrawal wrong
<br><br>
"	"Because it had been obvious to the Johnson administration that the war was unwinnable for a while, the tet offensive simply confirmed what Johnson and Clifford already knew
<br><br>

<br><br>
"
"What did mcnamara say to Johnson in early 1967
<br><br>
"	"'The picture of the world's greatest superpower... trying to pound a tiny, backwards nation into submission... is not a pretty one'
<br><br>

<br><br>
"
"What did Mcnamara in his last White House conference
<br><br>
"	"'*******ed bombing campaign... and we hadn't got a *******ed thing for it'
<br><br>

<br><br>
"
"What did Clark Clifford doubt
<br><br>
"	"The domino theory and the wisdom of US involvement
<br><br>

<br><br>
"
