#separator:tab
#html:true
"how did Britain feel about its position pre World War One
<br><br>
"	"That, to an extent, the empire was in decline in its hegemony
<br><br>

<br><br>
"
"How does World War One demonstrate strategic threats
<br><br>
"	"The beginnings of war quite clearly demonstrated strategic threats however it started due to German offensives to nations allied with Britain, not Britain itself
<br><br>

<br><br>
"
"Why was nationalism not necessarily much of A threat prior to World War One
<br><br>
"	"It was largely confined to middle class educated elites and it became a much greater threat post World War One when it was taken up by the masses
<br><br>

<br><br>
"
"What were the key areas of nationalism pre World War One
<br><br>
"	"India, ireland, Egypt
<br><br>

<br><br>
"
"What was some key points of threats that Indian nationalism posed
<br><br>
"	"Indian National Congress founded in 1885 and the swadeshi movement in 1905 damaged the economy due to the boycott of British goods. However at this point britain was able to getaway with cosmetic concessions such as the morley minto reforms that did not threaten their empire
<br><br>

<br><br>
"
"Since when had there been demands for home rule in Ireland
<br><br>
"	"The 1860s and the Irish home rule party was established in 1870
<br><br>

<br><br>
"
"Which Prime Minister was in favour of home rule and what did they do
<br><br>
"	"Gladstone and he tried to pass a bill in 1886 and again in 1893 but each time it was blocked by the conservatives and the liberal unionists because they saw this as the first step to breaking up the empire
<br><br>

<br><br>
"
"What was the main threat that Irish nationalism posed
<br><br>
"	"It could set an example and spread throughout the empire, it made Britain seem weak to foreign competitors as it was only right next to it and they could not seem to get ahold on the nationalist demands and it was a politically contested issue
<br><br>

<br><br>
"
"When was a third home rule bill passed
<br><br>
"	"1912 and its enactment looked to set to start a civil war but it was suspended due to ww1
<br><br>

<br><br>
"
"What attempts were made in 1892 in Egypt
<br><br>
"	"To throw off British rule but they were unsuccessful
<br><br>

<br><br>
"
"What was causing/provoking the middle class nationalist movement in Egypt
<br><br>
"	"Grievances on corruption, poverty, poor development of the cotton industry and lack of educational opportunities. They were fuelled by the newspapers
<br><br>

<br><br>
"
"Why had Britain prevented developments in education in Egypt
<br><br>
"	"They feared a nationalist movement developing in an expanding educated middle class which had happened in India
<br><br>

<br><br>
"
"When was the Egyptian National Party formed
<br><br>
"	"1881
<br><br>

<br><br>
"
"What did the Egyptian National Party attract
<br><br>
"	"Lawyers and professionals many of whom were educated in Egyptian and European establishments
<br><br>

<br><br>
"
"What did the Egyptian National Party seek
<br><br>
"	"The end of the occupation
<br><br>

<br><br>
"
"What was cromer's response to the Egyptian nationalist parties demands
<br><br>
"	"He ignored them but did appoint A nationalist as the minister for education
<br><br>

<br><br>
"
"What was the denshawai incident
<br><br>
"	"In 1906 there were several misunderstandings that resulted in a harsh response from the British in which 52 arrested four were convicted of murder and one was given a life sentence and 26 were given hard labour. provoked a spike in nationalism
<br><br>

<br><br>
"
"when was Sir Eldon Gorst Consul-General of Egypt
<br><br>
"	"1907-1911
<br><br>

<br><br>
"
"What happened with the nationalists under gorst as the consul general in Egypt
<br><br>
"	"Involvement of nationalists in the government as an attempt to weaken the Egyptian nationalist party and there was tighter censorship of press and in 1909 they used various penal measures to do so
<br><br>

<br><br>
"
"What was an example of nationalist threats and external strategic threats combining in Egypt
<br><br>
"	"The German government were providing funds to fuel anti British sentiment in Egypt in the press
<br><br>

<br><br>
"
"When was Lord Kitchener consul general of Egypt
<br><br>
"	"1911 to 1914
<br><br>

<br><br>
"
"What happened in Egypt under Lord Kitchener
<br><br>
"	"British dominance increased
<br><br>

<br><br>
"
"When was a legislative assembly created in Egypt
<br><br>
"	"1913 and it mostly represented landowners. It consisted of 66 elected members and 17 appointed nominees but did not really represent ordinary people
<br><br>

<br><br>
"
"When why was Egypt declared a formal protectorate
<br><br>
"	"november 1914 because the Ottoman Empire joined Germany and Austria in the war and so Britain needed to cement its position in the Middle East
<br><br>

<br><br>
"
"What happened to the ruling khedive when Egypt was declared protectorate in 1914
<br><br>
"	"He was deposed because he was an ally of the Ottoman Sultan. This was an example of the British being able to use coercive measures to assert their dominance
<br><br>

<br><br>
"
"to what extent did Egyptian nationalism threaten Britain
<br><br>
"	"Ultimately the threat of nationalism fully accelerated after the war and was not a major threat to the British who could easily suppress them
<br><br>

<br><br>
"
"Overall was the growing anxiety in Britain justified
<br><br>
"	"Only slightly - their economic and military position remained one of the if not the best in the world
<br><br>

<br><br>
"
"how did the growing anxiety within Britain actually help
<br><br>
"	"It made them re evaluate their global position and the way they used empire (eg imperial federation) and so in preparing (national efficiency) and accounting for the threats that were present from Germany they were in a better position than ever
<br><br>

<br><br>
"
