#separator:tab
#html:true
"How long had Britain held Cape?
<br><br>
"	"Since 1795 and it's been a colony since 1815
<br><br>

<br><br>
"
"What happens at the convention of Pretoria?
<br><br>
"	"august 1881: peace treaty to end first boer war. Clause written is that the Boers recognise that the British ultimately have power, but this doesn't actually mean anything
<br><br>

<br><br>
"
"What happens in 1886 in the transvaal?
<br><br>
"	"Gold is discovered, which suddenly makes the transvaal wealthy and therefore a new rival in South Africa
<br><br>

<br><br>
"
"What is Joseph Chamberlain and Cecil Rhodes response to the discovery of gold in the transvaal
<br><br>
"	"Revival of interest in the confederation
<br><br>

<br><br>
"
"Who are Uitlanders?
<br><br>
"	"British farmers who have migrated to the transVaal
<br><br>

<br><br>
"
"What issues are there with uitlanders in the transvaal?
<br><br>
"	"Suppose the disputes over their rights, e.g. killing of tom edgar by a transvaal policeman in December 1898
<br><br>

<br><br>
"
"What was the Jameson raid
<br><br>
"	"In 1895, Rhodes thought Uitlanders in the Transvaal asked for help would rise up against the Boers. Rhodes directed a raid on 29th December 1895 which was headed by Dr Jameson and 500 mounted police. The raid failed, Jameson was imprisoned and Rhodes was forced to resign. Really humiliating for British.
<br><br>

<br><br>
"
"Why was the fear of German influence?
<br><br>
"	"Kruger telegram from Kaiser Wilhelm II of Germany in 1896, showed growing relations between the boers and the Germans
<br><br>

<br><br>
"
"What was the Kruger ultimatum?
<br><br>
"	"Kruger demanded the British withdraw from the borders of the Boer republics in October 1899
<br><br>

<br><br>
"
"How did the British respond to the Kruger ultimatum?
<br><br>
"	"They refuse, war begins
<br><br>

<br><br>
"
"When do the boers see success in the war?
<br><br>
"	"1899- Spring 1900
<br><br>

<br><br>
"
"When do the British see success during the borr war?
<br><br>
"	"Spring-autumn of 1900, including relief of mafeking and the transvaal and the Orange Free State were annexed in September 1900
<br><br>

<br><br>
"
"When does the boers lead the guerrilla campaign?
<br><br>
"	"1900 to 1902
<br><br>

<br><br>
"
"What was the British response to the boer guerrilla campaign?
<br><br>
"	"They scorched the Earth, and under the direction of Lord Kitchener, 120,000 boer women and children are placed into concentration camps. 10,000 dead
<br><br>

<br><br>
"
"When was peace agreed in the boer war
<br><br>
"	"1902 may, peace of vereeniging
<br><br>

<br><br>
"
"Who was Emily Hobhouse?
<br><br>
"	"She was a welfare campaigner who denounced British concentration camps during the Boer War.
<br><br>

<br><br>
"
"When and why was Bechuanaland annexed?
<br><br>
"	"""The route to the north"", German presents in south-west Africa from 1884, and the British feared an alliance between them and Boers. Bechuanaland separated them.
<br><br>

<br><br>
"
"What was it believed about Matabeleland?
<br><br>
"	"May be gold
<br><br>

<br><br>
"
"Who is the king of the matabele people?
<br><br>
"	"King Lobengula
<br><br>

<br><br>
"
"What was the Rudd concession
<br><br>
"	"Forced onto king lobengula in 1888, granted excessive mining rights to Cecil Rhodes
<br><br>

<br><br>
"
"When was the British South Africa company established?
<br><br>
"	"1889, by cecil rhodes. Was given a charter by London to forestall The Germans, the Portuguese and the Boers
<br><br>

<br><br>
"
"When was fort Salisbery established
<br><br>
"	"1890 in Mashonaland by rhodes ""pioneers""
<br><br>

<br><br>
"
"When was Matabeleland annexed?
<br><br>
"	"1893
<br><br>

<br><br>
"
"When were the wars with Matabele
<br><br>
"	"1893-94
<br><br>

<br><br>
"
"When were the wars with Mashona
<br><br>
"	"1896-97
<br><br>

<br><br>
"
"When was barotseland annexed?
<br><br>
"	"1891, After agreements with Germany and Portugal. Annexed by the BSAC.
<br><br>

<br><br>
"
"What are the ambitions did Cecil Rhodes have
<br><br>
"	"Railway from Cape to Cairo
<br><br>

<br><br>
"
"When were the Rhodesia colonies established as Crown colonies
<br><br>
"	"1890s
<br><br>

<br><br>
"
"What happened in nyasaland
<br><br>
"	"Conflict between missionaries and Portuguese, backed by the Arabs, Control established by the BSAC in 1897, and it became a protectorate in 1907
<br><br>

<br><br>
"
