#separator:tab
#html:true
"Whose idea was it to create the Suez Canal?
<br><br>
"	"Ishmael Pasha, as he was keen on creating a modern Egypt
<br><br>

<br><br>
"
"What was the dufferin report?
<br><br>
"	"It established a Egyptian puppet Parliament in 1883
<br><br>

<br><br>
"
"What did Chamberlain suggest Was the main reason for expansion in Egypt
<br><br>
"	"Economic
<br><br>

<br><br>
"
"What did Darwin suggest was the main reason for expansion in Egypt?
<br><br>
"	"Fear of loss of prestige after Alexandria massacre similar to the Indian mutiny
<br><br>

<br><br>
"
"What was the 'Granville Doctrine'?
<br><br>
"	"Bearing could dismiss ministers who refused to accept British directives in the dufferin report
<br><br>

<br><br>
"
"What military changes were made to Egypt
<br><br>
"	"There was the presence of 6000 British troops under Lord Kitchener and reforms were made to the Egyptian army
<br><br>

<br><br>
"
"Why was Sudan an area of British interest?
<br><br>
"	"It was formally under Egyptian administration and Britain now occupied Egypt, and so they sent administrators to govern Sudan Khartoum
<br><br>

<br><br>
"
"What happened in the Sudan in June 1881
<br><br>
"	"A rebellion broke out, led by an Islamic cleric called Mohammed Ahmed, who claimed to be the Mahdi. His extreme beliefs and interpretation of Islam gained him significant followng in Sudan and he created a jihadist movement by which by 1882 had taken over much of the Sudan which was a big problem for the British.
<br><br>

<br><br>
"
"What did Colonel William Hicks launch in 1883
<br><br>
"	"A joint anglo- eGyptian expedition to defeat the mahdists, which was defeated
<br><br>

<br><br>
"
"What was General Charles Gordon sent to do in 1884?
<br><br>
"	"Evacuate British in Egyptian forces from khartoum
<br><br>

<br><br>
"
"What did Gordon do once he got khartoum?
<br><br>
"	"Decided to fight the mahdists and they held siege of khartoum
<br><br>

<br><br>
"
"What happened following the siege of Khartoum
<br><br>
"	"Gladstone dithered over sending reinforcements because the public loved Gordon but he had disobeyed his orders. Eventually he sent reinforcements in 1885 but when they got there, it was too late and they had all been murdered.
<br><br>

<br><br>
"
"When did the British withdraw from Sudan?
<br><br>
"	"1885
<br><br>

<br><br>
"
"Why did Britain return to the Sudan?
<br><br>
"	"Conservative government of Lord Salisbury concerned about other European countries and the control of the upper Nile
<br><br>

<br><br>
"
"What agreements were made over the spheres of influence
<br><br>
"	"Treaty with Germany in 1890 and an Italian intervention in East Africa diverted the <br>Mahdist state, but an Italian defeat at adowa in 1896 provided an excuse for campaign to conquer the Sudan
<br><br>

<br><br>
"
"When was Lord Kitchener's campaign?
<br><br>
"	"1896-98
<br><br>

<br><br>
"
"What was the victory at the battle of omdurman a display of?
<br><br>
"	"The power of the maximum gun. 25,000 Sudanese casualties, compared to only a few hundred British
<br><br>

<br><br>
"
"When was the fashoda incident?
<br><br>
"	"1898
<br><br>

<br><br>
"
"What was the fashoda incident?
<br><br>
"	"The French attempt to claim the upper Nile as their relations with Britain had worsened in the British could not allow this to happen so they re-entered the Sudan.<br><br>The confrontation with the frEnch ended in 1899 with agreements over spheres of influence
<br><br>

<br><br>
"
"When was Sudan established as an Anglo Egyptian condominium?
<br><br>
"	"1899
<br><br>

<br><br>
"
"Did Sudan have an economic benefits
<br><br>
"	"Not really
<br><br>

<br><br>
"
"What were the reasons for expansion into Sudan?
<br><br>
"	"Strategic because of the French and Suez, response to local crises, cultural moral concerns in the Islamic revolution, and men on the spot because of Gordon, as this provided a supposed extra push to re-enter the Sudan to avenge his death
<br><br>

<br><br>
"
