#separator:tab
#html:true
"Why have the social status of African Americans in the South greatly improved
<br><br>
"	"The 1964 Civil Rights Act
<br><br>

<br><br>
"
"What had 1960s legislation done
<br><br>
"	"Transformed the South. The eradication of jim crow laws, and it led the country in school desegregation
<br><br>

<br><br>
"
"How had southern governors changed
<br><br>
"	"They were avoiding the racist rhetoric of previous decades such as Jimmy Carter and in 1974 George Wallace claimed he was a born again Christian after an assassination attempt and apologised to the Selma marches
<br><br>

<br><br>
"
"What was the South characterised by in the 1970s
<br><br>
"	"Economic growth because lower wages and weaker unions had attracted industries
<br><br>

<br><br>
"
"What was the New South
<br><br>
"	"This was used to describe the South after the developments in civil rights legislation as well as the impact of economic growth
<br><br>

<br><br>
"
"What demonstrated the impact of the New South
<br><br>
"	"The migration back to the South. elijah davis said ' I can walk anywhere in town without fear'. Much of the north was dangerous due to riots and stuff because of the facto segregation where as the South was now deemed as easier to live in
<br><br>

<br><br>
"
"What led to a lot of change happening in Atlanta
<br><br>
"	"lawyer Maynard Jackson became Atlanta and Georgia's first black mayor in 1973-1981. Black political control had a major impact on African Americans
<br><br>

<br><br>
"
"How did maynard Jackson's leadership help the black middle class in Atlanta
<br><br>
"	"Their involvement was reinforced in the cities business and social affairs
<br><br>

<br><br>
"
"How did a black mayor impact black employment in Atlanta
<br><br>
"	"Black employment in public department increased- Jackson hired Atlantis first affirmative action officer and the proportion of black public employees in professional positions rose from 19.2 percent 42.2% from 1973 to 1978.
<br><br>

<br><br>
"
"What was Jackson assisted by in improving the employment status of African Americans in Atlanta
<br><br>
"	"The 1972 Equal Employment opportunities act
<br><br>

<br><br>
"
"What affect did Jackson have on the black businesses in Atlanta
<br><br>
"	"He increased the percentage of city contracts awarded to black firms by 25% and with drew city money from one bank that refused to accept affirmative action
<br><br>

<br><br>
"
"How did Maynard Jackson prove Rosa Parks right
<br><br>
"	"She said ' it was about empowerment through the ballot box' when she joined the NAACP
<br><br>

<br><br>
"
"What had an increase in black voter registration not really managed
<br><br>
"	"to lead to an increase in elected black officials, including in georgia: African Americans with 27% of the voters but only 3.7% of the elected officials in 1980
<br><br>

<br><br>
"
"What proportion of black atlantans were below the poverty line
<br><br>
"	"1/3
<br><br>

<br><br>
"
"What was black unemployment like in Georgia
<br><br>
"	"Three times that of whites
<br><br>

<br><br>
"
"What was black unemployment like in Atlanta
<br><br>
"	"Double that of whites and 70% of those employed had low paying blue collar jobs
<br><br>

<br><br>
"
"What percentage of atlanta's black families were below the poverty line
<br><br>
"	"33% compared to 7% of white families
<br><br>

<br><br>
"
"What did the 1979 study show about rubbish dumps in the South
<br><br>
"	"But they were situated disproportionately in black areas
<br><br>

<br><br>
"
