#separator:tab
#html:true
"Internationally what were Americans embarrassed about
<br><br>
"	"Vietnam and the Iranian hostage crisis
<br><br>

<br><br>
"
"how else did women struggle in the workforce
<br><br>
"	"They still held few executive managerial and professional positions and were under represented in politics
<br><br>

<br><br>
"
"How many women were in Congress
<br><br>
"	"16 women in the House of Representatives and none in the Senate in 1980
<br><br>

<br><br>
"
"Why did feminists feel they had achieved considerable reproductive rights
<br><br>
"	"Because of the 1965 court ruling in favour of contraception for married couples and because of Roe V wade in 1973
<br><br>

<br><br>
"
"What was the phrase used to attack president Carter
<br><br>
"	"Can Carter cope
<br><br>

<br><br>
"
"What weakened Carter's presidential election campaign
<br><br>
"	"A challenge from Liberal Democrat Edward Kennedy
<br><br>

<br><br>
"
"What did Carter say as a fiscal conservative that annoyed Liberal Democrats who sought greater government expenditure on social problems
<br><br>
"	"' government... cannot eliminate poverty, or provide a bountiful economy'
<br><br>

<br><br>
"
"What were the main reasons for people believing in Carters incapability
<br><br>
"	"Economy and stagflation and foreign policy in terms of Iran and the USSR
<br><br>

<br><br>
"
"By 1981 what percentage of people considered Carter a very strong leader
<br><br>
"	"18%
<br><br>

<br><br>
"
"In terms of economics what did Reagan promise
<br><br>
"	"He promised tax cuts as well as promoting the free market ideas of economist and adviser Milton Friedman
<br><br>

<br><br>
"
"What did Reagan insist caused the economic problems
<br><br>
"	"High spending interventionist Democrat policies
<br><br>

<br><br>
"
"How did Reagan and carter differ on the opinions about the American dream
<br><br>
"	"Carter seemed to consider the American dream lost (malaise speech), but Reagan said the loss was temporary and due to Carter. He promised the restoration of it
<br><br>

<br><br>
"
"What percentage of voters stayed at home in 1980
<br><br>
"	"47% - many of whom could have voted Democrat were disillusioned with politics and the leadership of Carter
<br><br>

<br><br>
"
"What nickname ish did Reagan earn
<br><br>
"	"The great communicator - he had experience on television and was very good at public speaking
<br><br>

<br><br>
"
"What was the outcome of a debate in October 1980
<br><br>
"	"Carter appeared as colder than Reagan and Reagan played up to family ideals by using language such as aw shucks
<br><br>

<br><br>
"
"What rhetoric did Reagan use to make Carter look bad
<br><br>
"	"He pushed the can carter cope notion and asked Americans if they felt anything was better after four years of Carter
<br><br>

<br><br>
"
"What did Reagan oppose that pleased the socially conservative voters
<br><br>
"	"The 1960s excesses and permissiveness and feminism and the era
<br><br>

<br><br>
"
"How did Reagan please the Christian socially conservative voters
<br><br>
"	"His support for school prayer which the Supreme Court had ruled against 1962, his criticism of federal courts for not allowing creationism to be taught in schools, and his assurance to evangelical ministers that he was a born again christian despite his rare appearance at church
<br><br>

<br><br>
"
"What was ironic about reagans emphasis on the importance of the nuclear family
<br><br>
"	"His divorce in 1952 and difficult relations with two out of four of his children
<br><br>

<br><br>
"
"Who did Reagan have backing from
<br><br>
"	"The new right and religious right, who were already amongst America's most visible and powerful political voices
<br><br>

<br><br>
"
"How many evangelical Christians voted for Reagan
<br><br>
"	"An estimated 5,000,000 who had never voted before
<br><br>

<br><br>
"
"What did the religious right oppose (13 things)
<br><br>
"	"Feminism, divorce, working mothers, the ERA, drugs, abortion, sexual promiscuity, premarital sex, unmarried mothers, homosexuality, popular cultures preoccupation with sex, porn and teaching of sex in schools
<br><br>

<br><br>
"
"What percentage of women were full time homemakers
<br><br>
"	"Fewer than 50%
<br><br>

<br><br>
"
"What affect did the religious right have on politics?
<br><br>
"	"They increased the polarisation of American politics and society when it campaigned to promote traditional values during the culture wars
<br><br>

<br><br>
"
"What were the results of the 1980 election
<br><br>
"	"Republicans in the White House and in Congress
<br><br>

<br><br>
"
"What percentage voters voted for who
<br><br>
"	"28% voted Reagan, 25% for Carter, 47% did not vote
<br><br>

<br><br>
"
"What did Carter do in the 1980 election that damaged the Democrat party
<br><br>
"	"He concedes very early on which stops more Democrats winning congressional seats as Democrat voters would just go home
<br><br>

<br><br>
"
"What did the American dream mean to many Americans, and how did this translate to them believing whether it was achieved or not
<br><br>
"	"The majority of Americans defined it as the opportunity for each individual to fulfil their own potential and obtain the material gain, so largely they defined it by their standard of living which was better in the 1940s for many than it was in 1980
<br><br>

<br><br>
"
"Why did some believe the American dream was an illusion
<br><br>
"	"Due to economic and social inequality as even with the rights revolution and greater quality it was still not close to being achieved
<br><br>

<br><br>
"
"On an international scale how is it believed that the American dream was an illusion
<br><br>
"	"The American dream portrayed in the Truman doctrine and by Johnson over Vietnam envisaged the USA as exporting its superior political, social and economic systems to other nations. However by 1980 events in Vietnam and Iran were changing this perception of America as the good guys
<br><br>

<br><br>
"
