#separator:tab
#html:true
"What did a 1970s poll reveal about women's belief in their place in the home
<br><br>
"	"2/3 of female college students believe that this notion was nonsense
<br><br>

<br><br>
"
"How many members did the CWA have by the mid 1980s
<br><br>
"	"500,000
<br><br>

<br><br>
"
"What did the CWA want for women
<br><br>
"	"To stay at home and not deprive men of possible employment. this was representative of the resurgent social conservatism
<br><br>

<br><br>
"
"What did republican representative Henry Hyde do in 1976
<br><br>
"	"he led Congress in the passage of a law that banned the use of federal funds for abortion and in 1979 the Supreme Court ruled it constitutional
<br><br>

<br><br>
"
"How did Carter infuriate feminists
<br><br>
"	"He accepted the 1979 ruling that Henry hyde's law was constitutional was unfair to poor women, but that 'many things in life are not fair'
<br><br>

<br><br>
"
"What effect did the national right to life committee have on congressional elections
<br><br>
"	"Roughly 70% of those contacted by them turned out to vote in 1978 which was twice the national average
<br><br>

<br><br>
"
"what proportion of those contacted by the national right to life committee donated at least $25
<br><br>
"	"50%
<br><br>

<br><br>
"
"How did the conservative campaign against abortion affect the 1980 congressional elections
<br><br>
"	"Several liberals were defeated including George McGovern who was open about his pro abortion stance
<br><br>

<br><br>
"
"What did roe v wade contribute greatly to in the 1980s
<br><br>
"	"The culture wars
<br><br>

<br><br>
"
"How did Ford and Carter help in womens rights
<br><br>
"	"Neither president could settle these social divisions over womens rights but their low profile responses did not exacerbate them
<br><br>

<br><br>
"
"When and where were the stonewall riots
<br><br>
"	"For five days in 1969 in Greenwich Village New York City
<br><br>

<br><br>
"
"What were the Stonewall Riots?
<br><br>
"	"In 1969, gay people fought with police due to harassment. Considered beginning of gay rights movement.
<br><br>

<br><br>
"
"Which organisation endorsed gay rights
<br><br>
"	"NOW, 1973
<br><br>

<br><br>
"
"What did California voters reject in 1978
<br><br>
"	"Homophobic legislation
<br><br>

<br><br>
"
"What did the 1980 Democrat party support
<br><br>
"	"Equality for all, including gay people
<br><br>

<br><br>
"
"What did signs of progress in gay rights contribute to
<br><br>
"	"Conservative backlash
<br><br>

<br><br>
"
"What did Ford and Carter say on the issue of gay rights
<br><br>
"	"They both remained silent
<br><br>

<br><br>
"
"What were ford's ideas on poverty
<br><br>
"	"He was a firm believer in self help and had no real ideas or impact on poverty and welfare
<br><br>

<br><br>
"
"What was Carter expected do compared to ford in terms of poverty
<br><br>
"	"Care and do more, but he faced several problematic demographic trends
<br><br>

<br><br>
"
"What was the fastest growing section of the population and why was this a problem for poverty
<br><br>
"	"It was the elderly which necessitated increased expenditure on Social Security and healthcare but Carter was keen to balance the budget
<br><br>

<br><br>
"
"What did continuing white flight do
<br><br>
"	"Led to further deterioration of poverty stricken northern city centres
<br><br>

<br><br>
"
"What did the economic recession of 1973-5 do
<br><br>
"	"Increase the population below the poverty line from 11.2% in 1974 to 12.5% in 1976
<br><br>

<br><br>
"
"Proportion of people under the poverty line were female black heads of households
<br><br>
"	"50%
<br><br>

<br><br>
"
"Did Carter make progress on issues surrounding poverty
<br><br>
"	"He made little progress despite $4 billion allocated for public works in 1977 and increase federal aid for food stamps
<br><br>

<br><br>
"
"Why did Carter make such little progress on poverty
<br><br>
"	"Taxpayers did not want to subsidise the poor and he was obsessed with balancing the budget
<br><br>

<br><br>
"
"How many Native Americans were there by 1960
<br><br>
"	"700,000
<br><br>

<br><br>
"
"What were the unemployment rates in Native Americans
<br><br>
"	"20 to 80%
<br><br>

<br><br>
"
"What was the life expectancy for Native Americans
<br><br>
"	"44 years
<br><br>

<br><br>
"
"Who were the greatest beneficiaries of Johnson's war on poverty
<br><br>
"	"native americans
<br><br>

<br><br>
"
"What year was the Indian self determination act passed
<br><br>
"	"1975
<br><br>

<br><br>
"
"What was the 1976 ruling Bryan versus itasca county
<br><br>
"	"Facilitated the establishment of casinos on reservations which meant that some Native Americans prospered as a result, but the majority continued to have difficult lives
<br><br>

<br><br>
"
"What were Mexicans inspired by
<br><br>
"	"Black activism
<br><br>

<br><br>
"
"Who was Caesar Chavez?
<br><br>
"	"Latino civil rights activist with aggressive but nonviolent tactics; founded the National Farm Workers Association/ United Farm Workers
<br><br>

<br><br>
"
"Which movement put Mexicans firmly on the national political gender
<br><br>
"	"The Chicano movement
<br><br>

<br><br>
"
"What role did Ford and Carter play in social division between the majority white population and Native Americans and Hispanic Americans
<br><br>
"	"They did very little to combat these divisions
<br><br>

<br><br>
"
"In the 1970s what percentage of black families were classified as middle class
<br><br>
"	"35 to 45%
<br><br>

<br><br>
"
"How many African Americans were in Congress in 1980
<br><br>
"	"18 compared to 10 in 1969 and four in 1959
<br><br>

<br><br>
"
"What percentage of black families were earning over $10,000 in 1971
<br><br>
"	"31%
<br><br>

<br><br>
"
"What was the average unemployment rate of black male teenagers
<br><br>
"	"50%
<br><br>

<br><br>
"
"What proportion of black teenagers in New York City dropped out of high school
<br><br>
"	"Half
<br><br>

<br><br>
"
"What with the rates of infant mortality for black children compared to white children
<br><br>
"	"They had twice the likelihood of infant mortality before one and four times as likely to be murdered
<br><br>

<br><br>
"
"What did Carter insist on which proved his affirmative action record
<br><br>
"	"But at least one minority be considered for each cabinet post
<br><br>

<br><br>
"
"Who did Carter choose as the secretary of Housing and Urban development
<br><br>
"	"African American Patricia Harris
<br><br>

<br><br>
"
"How many black federal judges did Carter appoint
<br><br>
"	"38
<br><br>

<br><br>
"
"Who did Carter make EU S ambassador to the UN
<br><br>
"	"Mlk's associate
<br><br>

<br><br>
"
"What work did carter do with affirmative action for public works
<br><br>
"	"Channelled government contracts to minority firms and supported the 1977 public works act and 10% of federal grants for public works went to minority contractors
<br><br>

<br><br>
"
"What did Carter strengthen the enforcement of
<br><br>
"	"Voting rights laws
<br><br>

<br><br>
"
"In what way did Carter make the EEOC more effective
<br><br>
"	"Made them more effective in combating discrimination in the labour force
<br><br>

<br><br>
"
"Which case proved affirmative action was socially divisive
<br><br>
"	"The 1978 Bakke versus Regents of university of california ruling
<br><br>

<br><br>
"
"What was the Bakke case?
<br><br>
"	"Alan Bakke claimed that the University of California had discriminated against him by accepting minority students with lower grades
<br><br>

<br><br>
"
"What was the ruling in the 1978 bakke versus Regents of University of California ruling
<br><br>
"	"It upheld a flexible approach to affirmative action but rejected quotas. after this affirmative action programmes remained basically unchanged
<br><br>

<br><br>
"
"What did African Americans complain that Carter was insufficiently committed to
<br><br>
"	"Bussing; the 1977 bill that encouraged lenders to assist those in low income neighbourhoods which became the community reinvestment act; expansion of social welfare programmes
<br><br>

<br><br>
"
"What did many black teenagers do in 1979 when they reported for snow shovelling jobs only to find the jobs already filled, in Washington DC
<br><br>
"	"They broke into and looted shops
<br><br>

<br><br>
"
"Who did black officials blame for the disproportionate amount of African Americans in poverty
<br><br>
"	"Carter for not helping the poor and unemployed
<br><br>

<br><br>
"
"What happened in the summer of 1980
<br><br>
"	"Economic problems prompted the worst racial violence since the 1960s
<br><br>

<br><br>
"
"What happened in Miami FL that led to massive riots
<br><br>
"	"1980 an all white jury acquitted 4 white policemen charged with beating to death a black insurance salesman
<br><br>

<br><br>
"
"What were the results of the riots in Miami in 1980
<br><br>
"	"Three days of looting, shooting and property damage followed, with 16 dead, 400 injured an estimated $100 million of property damage
<br><br>

<br><br>
"
"What did NAACP leader Benjamin hooks say
<br><br>
"	"' black folks ain't worth a damn in this country'
<br><br>

<br><br>
"
"What did the violence and riots in 1980 helped contribute to
<br><br>
"	"Conservative backlash and the culture wars of the 1980s
<br><br>

<br><br>
"
"Why was there a sense of a nation in crisis (8 things)
<br><br>
"	"Protest movements of the 1960s, credibility gap post vietnam, watergate scandal, ford's pardon of nixon, can carter cope, international problems, economic problems, and the energy crisis
<br><br>

<br><br>
"
"What did the protest movements of the 1960s reflect and generate
<br><br>
"	"A more critical view of the American Society and politics
<br><br>

<br><br>
"
"When was there unprecedented inflation in or near double figures
<br><br>
"	"1973-80
<br><br>

<br><br>
"
"What was the cost of living crisis rising yearly at an average of from 1973 to 1983
<br><br>
"	"8.2%
<br><br>

<br><br>
"
"In a 1978 poll what percentage of Americans considered inflation their greatest concern
<br><br>
"	"63%
<br><br>

<br><br>
"
"Why were those in areas of declining manufacturing output in the rustbelt hit particularly hard by the economic recessions
<br><br>
"	"Increasing unemployment due to increasing automation
<br><br>

<br><br>
"
"What did Gerald Rafshoon, assistant to the president for communications, say about the economy
<br><br>
"	"'it is impossible to overestimate the importance of the inflation issue'
<br><br>

<br><br>
"
"What did unemployment increase to in 1975
<br><br>
"	"It was rising throughout the decade and it was at 8.9% in may 1975 compared to 6.5% in December 1974
<br><br>

<br><br>
"
"What was the main reason for the increasing unemployment rates
<br><br>
"	"The increased imports of German and Japanese goods as well as the increased mechanisation of industry
<br><br>

<br><br>
"
"What increased is a result of the increased automation of industry
<br><br>
"	"Service jobs - they formed 60% of Employment opportunities in 1970, and 70% in 1980
<br><br>

<br><br>
"
"What did the minimum wage increase to
<br><br>
"	"$2.10 1975 to $3.35 1981
<br><br>

<br><br>
"
"What did the rising minimum wage fail to do
<br><br>
"	"Keep pace with rising prices
<br><br>

<br><br>
"
"What was an effect of the cost of living crisis
<br><br>
"	"Many mothers needed to work in order to maintain family income
<br><br>

<br><br>
"
"What did many voters consider Ford and Carter unsuccessful in dealing with in terms of the economy
<br><br>
"	"Stagflation - both prioritised tackling inflation rather than unemployment
<br><br>

<br><br>
"
"What did Carters tough stance on inflation contribute to
<br><br>
"	"The subsequent economic revival from which Reagan benefited
<br><br>

<br><br>
"
"Which eventss demonstrated the seriousness of the energy crisis
<br><br>
"	"In 1973-74 and in 1979 there were long queues at petrol pumps when fuel stations closed on Sundays and cut hours in order to conserve supplies; exceptionally harsh 1976-7 winter which led to a natural gas shortage which forced the closure of schools and factories especially in eastern USA; in 1979 saw the first American energy Riot in Levittown Pennsylvania
<br><br>

<br><br>
"
"What happened in the energy riot in levittown Pennsylvania
<br><br>
"	"truckers barricaded expressways and 100 were injured and 170 were arrested in two nights of violence
<br><br>

<br><br>
"
"What did voters demand politicians over the energy crisis
<br><br>
"	"'do something about it' but they rejected the obvious option of increased taxes on fuel that would cut consumption and shortages. It provided politicians with a supposedly insoluble problem
<br><br>

<br><br>
"
"What did the inability to solve the energy crisis contribute to
<br><br>
"	"Growing disillusionment and the feeling that the USA was in decline
<br><br>

<br><br>
"
"What did Carter do that illustrated the feeling the USA was in decline
<br><br>
"	"He gave a speech in July 1979 about the 'crisis of confidence' in America that became known as the malaise speech, instead of illustrating a positive outlook that people expected
<br><br>

<br><br>
"
"What are two quotes from Carters malaise speech
<br><br>
"	"'all the legislation in the world can't fix what's wrong with America' and 'the gap between our citizens and our government has never been so wide'
<br><br>

<br><br>
"
"In a 1978 poll what percentage of Americans considered inflation their greatest concern
<br><br>
"	"63%
<br><br>

<br><br>
"
