#separator:tab
#html:true
"What did Nixon say to one aide which demonstrated how cynical he was about politics
<br><br>
"	"'you are never going to make it into politics. You just don't know how to lie'
<br><br>

<br><br>
"
"What does Nixon announce on the 30th of April 1973, along with the firing of his lawyer Dean
<br><br>
"	"The resignation of haldeman and ehrlichmann. Kissinger is the only one left
<br><br>

<br><br>
"
"When and what does White House aide Butterfield reveal in court
<br><br>
"	"16th of July 1973 he reveals the taping system in the White House when asked, which even nixon's family did not know about
<br><br>

<br><br>
"
"What does Congress force Nixon to do in may 1973
<br><br>
"	"Appoint first ever special prosecutor, archibald cox
<br><br>

<br><br>
"
"Who was Archibald Cox
<br><br>
"	"A Democrat and Kennedy family friend ie a Nixon nightmare
<br><br>

<br><br>
"
"What did Archibald Cox and his team concentrate on getting
<br><br>
"	"The tapes
<br><br>

<br><br>
"
"What does Nixon do when asked to hand over the tapes
<br><br>
"	"He does not destroy the tapes because this would be a clear admission of guilt but instead he says only John stennis, an old deaf man, can listen
<br><br>

<br><br>
"
"When did Nixon abolish Cox and his office, and what does this appear as
<br><br>
"	"20th of October 1973 - constitutionally right but unwise
<br><br>

<br><br>
"
"What was the Saturday night massacre
<br><br>
"	"When president Nixon ordered the Attorney General richardson to fire the special prosecutor investigating the Watergate break-in, who refused and resigned. Nixon then asked deputy attorney general ruckelshaw who does the same and then finally Nixon asks solicitor general bork who fired Cox
<br><br>

<br><br>
"
"What were nixon's approval ratings after the Saturday night massacre
<br><br>
"	"17%, and he received nearly half a million mostly hostile telegrams
<br><br>

<br><br>
"
"When does Nixon appoint a new special prosecutor
<br><br>
"	"31st of October 1973
<br><br>

<br><br>
"
"When and why does spirow agnew resign
<br><br>
"	"October 1973 because of tax evasion whilst governor of Maryland
<br><br>

<br><br>
"
"What does the House Judiciary Committee set up in late 1973
<br><br>
"	"They gave $1,000,000 to hire 106 members for an impeachment investigation
<br><br>

<br><br>
"
"When does Nixon finally surrender some of the White House tapes
<br><br>
"	"November 1973 he hands over 7 tapes and give them the transcripts of 1200 pages with all of the swearing removed
<br><br>

<br><br>
"
"What is weird about the tapes that Nixon hands over in November 1973
<br><br>
"	"From the day after the break in there is an 18.5 minute gap in a Nixon haldeman conversation
<br><br>

<br><br>
"
"What did Nixon claim about some of the tapes when pushed for more
<br><br>
"	"that they didn't exist
<br><br>

<br><br>
"
"Who was indicted in March 1974
<br><br>
"	"7 Nixon aides for cover up. Nixon was named as a co conspirator but he was not indicted
<br><br>

<br><br>
"
"What does he hand over in April 1974
<br><br>
"	"Rather than face impeachment he surrenders edited transcripts of other requested tapes
<br><br>

<br><br>
"
"When did the Supreme Court issue a subpoena for the tapes
<br><br>
"	"July 1974 after special prosecutor jaworski demanded the actual tapes, and they say that the president could not claim executive powers
<br><br>

<br><br>
"
"When does Nixon finally release the tapes
<br><br>
"	"August 1974, and a conversation from June 1972 contained evidence that proved he had ordered the coverup and engaged in a conspiracy to obstruct justice
<br><br>

<br><br>
"
"Which three articles of impeachment did the House Judiciary Committee approve
<br><br>
"	"Obstruction of justice, abuse of power, and abuse of Congress
<br><br>

<br><br>
"
"What percentage of Americans believed he was guilty
<br><br>
"	"75%
<br><br>

<br><br>
"
"What percentage of Americans opposed the impeachment
<br><br>
"	"26%
<br><br>

<br><br>
"
"What does the House Judiciary Committee tell Nixon on the 6th of August
<br><br>
"	"that if he resigns there won't be anymore charges because they were anxious about national trauma
<br><br>

<br><br>
"
"On the 7th of August 1974 what do Republican Party congressional leaders tell Nixon
<br><br>
"	"They tell him he has to leave and even goldwater says 'Nixon should get his ass out of the White House'
<br><br>

<br><br>
"
"What else happens on the 7th of August 1974
<br><br>
"	"Nixon cries to Kissinger in his office
<br><br>

<br><br>
"
"When does Nixon give the resignation speech
<br><br>
"	"8th of August 1974
<br><br>

<br><br>
"
"When does Nixon resign
<br><br>
"	"August 9, 1974
<br><br>

<br><br>
"
"What benefits does Nixon gain from resigning over being impeached
<br><br>
"	"Access to $60,000 pension and $100,000 staff expenses, whereas if impeach he'd be 'wiped out financially' by legal fees and $500,000 for unpaid taxes as well as the risk of criminal prosecution
<br><br>

<br><br>
"
"What demonstrates the impact of Watergate on nixon's presidency in historical opinion
<br><br>
"	"He always comes out at or near the bottom when scholars rank presidents
<br><br>

<br><br>
"
"What was believed about Watergate that demonstrated its salience
<br><br>
"	"There was a belief that Watergate was not just a scandal but a constitutional crisis of enormous magnitude
<br><br>

<br><br>
"
"What was the impact on people's trust in government
<br><br>
"	"People lost all trust in the government
<br><br>

<br><br>
"
"What affected Watergate have on the role of the media
<br><br>
"	"Although government agencies were probably more important in undoing this scandal, reporters were confirmed in the belief that the press was the guardian of democracy and the success of Woodward and Bernstein led to a generation of journalists picking away potential political scandals which exacerbated popular cynicism about the government and the credibility gap
<br><br>

<br><br>
"
"What was the credibility gap
<br><br>
"	"the divide in trust between the United States government and the American people which began under Johnson, especially when he had said they were winning the war in Vietnam and then the Tet offensive took place
<br><br>

<br><br>
"
"What impact did Watergate have on the electoral
<br><br>
"	"Decreased electoral turnout during the 1970s
<br><br>

<br><br>
"
"What did nixons biographer hoff claim about Watergate
<br><br>
"	"that it was a scandal waiting to happen in the 'aprincipled American political system', and that the popular belief it was all nixon's fault stopped the much needed reform of American political and constitutional systems in which the executive could easily abuse its power
<br><br>

<br><br>
"
"What happened to the four Republicans who had voted against impeachment
<br><br>
"	"They lost their seats
<br><br>

<br><br>
"
"What was the effect on the Republican Party
<br><br>
"	"They moved to the right and they used Watergate as an opportunity to associate the disgrace with nixon's more moderate policies, and conservatives preceded to take control of the party which affected American politics for many years to come
<br><br>

<br><br>
"
"What did the conservative Republicans claim about the 1976 election
<br><br>
"	"That ford lost 1976 election because of a reaction to moderate policies but in reality it was largely due to his pardon of Nixon
<br><br>

<br><br>
"
"When did Ford pardon Nixon?
<br><br>
"	"September 8, 1974
<br><br>

<br><br>
"
"Why did ford pardon Nixon because of the trial
<br><br>
"	"A trial hanging over his term would stop him from doing anything or getting elected
<br><br>

<br><br>
"
"Why was it impossible for Nixon to have a fair trial
<br><br>
"	"They would never be able to find a jury that was not invested and so Nixon would just appeal a conviction anyway, this was another reason for Ford's pardon
<br><br>

<br><br>
"
"What was a more personal reason about Nixon that Ford pardoned him
<br><br>
"	"Nixon was not mentally stable and physically ill, and it was entirely possible he was suicidal
<br><br>

<br><br>
"
"Nixon accepting the pardon was basically what
<br><br>
"	"an admission of guilt and therefore far more practical than not pardoning him
<br><br>

<br><br>
"
"What did Ford say when he pardoned Nixon
<br><br>
"	"' end the Great American tragedy'
<br><br>

<br><br>
"
"what happens to Ford's approval ratings when he pardons Nixon
<br><br>
"	"Go from 71% to 49%
<br><br>

<br><br>
"
"What was there a further conspiracy of concerning the pardon
<br><br>
"	"that there was a deal to make Ford vice president in order for him to pardon Nixon. Ford denies this and there is no evidence for it
<br><br>

<br><br>
"
"Which laws did Congress enact that demonstrated them trying to reign in the imperial presidency
<br><br>
"	"Budget and impoundment Control Act 1974 and the ethics in government act of 1978
<br><br>

<br><br>
"
"What were the main results in the damaged presidency
<br><br>
"	"Lack of respect and trust in the presidency; Resentment from Congress; Peak of imperial presidency
<br><br>

<br><br>
"
"What were the long term consequences on the impact of the presidency
<br><br>
"	"It allowed much worse to happen afterwards (for example under Reagan and trump); The crisis of authority; A tendency to criminalise presidential politics (many more impeachments in recent decades)
<br><br>

<br><br>
"
"What were the long term consequences on the international image of America
<br><br>
"	"Damaged the international image
<br><br>

<br><br>
"
"What impact did Watergate have on party politics
<br><br>
"	"Increased republican and Democrat tensions
<br><br>

<br><br>
"
"What had been demonstrated in the aftermath of Watergate
<br><br>
"	"Law and order, ironically against the law and order candidate
<br><br>

<br><br>
"
