#separator:tab
#html:true
"which imperialist power was present in vietnam
<br><br>
"	"french
<br><br>

<br><br>
"
"what external issues caused kennedy to escalate the situation
<br><br>
"	"domestic and international reputation - after bay of pigs incident he did not want to risk any more humiliation at the hands of the communists
<br><br>

<br><br>
"
"hw=ow many americans were killed during kennedy's time in office
<br><br>
"	"77
<br><br>

<br><br>
"
"what private document of kennedy's reveal and possibly feed into the camelot myth?
<br><br>
"	"oct 1963, NSAM-263: called for the removal of 1,000 advisers - would he have withdrawn in another term?
<br><br>

<br><br>
"
"who was south vietnamese leader when johnson comes to office
<br><br>
"	"General Minh
<br><br>

<br><br>
"
"what three reasons meant lbj had little choice in continuing interference in vietnam
<br><br>
"	"weak saigon regime, kennedy's legacy, and cold war convictions/losing vietnam
<br><br>

<br><br>
"
"what did johnson believe in in terms of international politics
<br><br>
"	"communist nations aggressive dictatorships, appeasement could lead to war, containment and domino theory
<br><br>

<br><br>
"
"what did johnson believe in terms of domestic politics
<br><br>
"	"question of national honour to continue in SV, losing vietnam = losing next election, he knew a long war would be unpopular back home
<br><br>

<br><br>
"
"who were johnson's leading men
<br><br>
"	"felt it proper to keep kennedy's defence secretary mcnamara and secretary of state Rusk, this meant no new ideas on the war
<br><br>

<br><br>
"
"what soon became clear about general minh and his successors?
<br><br>
"	"even worse than diem - mcnamara described situation under general khanh as 'very disturbing'
<br><br>

<br><br>
"
"what was the issue with the SV fighters
<br><br>
"	"generally apathetic and unwilling to fight - johnson was pressed by advisers to escalate situation
<br><br>

<br><br>
"
"what was problem with NV fighters
<br><br>
"	"using guerilla war tactics which americans were clearly struggling to compete with
<br><br>

<br><br>
"
"what was operation ranch hand?
<br><br>
"	"from 1962-1967 US air force sprayed 19 million gallons of herbicides - 11 million of which was Agent Orange which has led to many long term health risks such as cancer in veterans and the vietnamese - to try and kill the greenery which vietcong fighters were using to hide
<br><br>

<br><br>
"
"what happened in august 1964
<br><br>
"	"gulf of tonkin incident - US Maddox attacked whilst in NV waters on espionage. rumoured that another ship was attacked but unsure if true - claimed that the attacks were unprovoked
<br><br>

<br><br>
"
"how did johnson use the gulf of tonkin incident?
<br><br>
"	"to pass the gulf of tonkin resolution which granted him power to pursue military action in vietnam and use 'all necessary powers' to escalate the situation (HoR unanimous, senate 88-2)
<br><br>

<br><br>
"
"how was the NV government doing compared to SV?
<br><br>
"	"SV continuing to prove unpopular whereas NV + Ho Chi Minh were winning support through land reforms and receiving considerable aid from soviets & china. they were seen as more patriotic
<br><br>

<br><br>
"
"what did the working group emphasise to johnson
<br><br>
"	"nov 1964 - an independent anti communist SV was crucial, American 'national prestige, credibility and honour were at stake', saigon government 'plagued by confusion apathy and poor morale', should be heavier bombing
<br><br>

<br><br>
"
"What was the Pleiku incident?
<br><br>
"	"Vietcong attacked huge US military camp killing 8 nd wounding over 100
<br><br>

<br><br>
"
"what was johnsons response to pleiku incident?
<br><br>
"	"'i've had enough of this' and he began rolling thunder campaign
<br><br>

<br><br>
"
"What was Rolling Thunder?
<br><br>
"	"2 march 1965 - The air strike campaign against communist supply routes in Vietnam, 67% of american's supported rolling thunder
<br><br>

<br><br>
"
"what did rolling thunder aim to do
<br><br>
"	"secure US bomber bases, decrease communist infiltration, demoralise NV gov, encourage SV gov
<br><br>

<br><br>
"
"what did the NYT say about US in vietnam
<br><br>
"	"in an 'undeclared and unannounced war'
<br><br>

<br><br>
"
"why would johnson not declare war
<br><br>
"	"fear of inviting soviet and chinese involvement, congress may cut funding to his Great Society
<br><br>

<br><br>
"
"when and where did troops drop?
<br><br>
"	"march 1965 at Da Nang
<br><br>

<br><br>
"
"why did johnson feel confident dropping ground troops
<br><br>
"	"landslide victory
<br><br>

<br><br>
"
"what were johnsons reasons for ground troops
<br><br>
"	"NV aggressors, free world needed securing, NV puppet of expansionist communist powers, ike and jfk had built SV - abandoning would dishonour them
<br><br>

<br><br>
"
"what could appeasement supposedly lead to
<br><br>
"	"third world war
<br><br>

<br><br>
"
"polls revealed that ___ about ground troops
<br><br>
"	"70% behind johnson, 80% believed in domino theory, 47% wanted more ground troops
<br><br>

<br><br>
"
"what did they think was happening in 1967
<br><br>
"	"nov 1967 - the end begins to come into view
<br><br>

<br><br>
"
"when does mcnamara resign
<br><br>
"	"29th nov 1967 - sees the war as unwinnable, no loner agrees with excessive use of explosives
<br><br>

<br><br>
"
"who replaces mcnamara as secretary of defence
<br><br>
"	"clark clifford - he is also critical of excessive force, doubtful of domino theory, keen to pull out
<br><br>

<br><br>
"
"What was the Tet Offensive?
<br><br>
"	"a massive surprise attack by the Vietcong on over 100 South Vietnamese towns and cities in january 1968 during tet (the national holiday). the temporarily infiltrate us embassy in saigon
<br><br>

<br><br>
"
"what role did media coverage play in the tet offensive
<br><br>
"	"drop in support (to around 35%) and rise in anti-occupation in americans
<br><br>

<br><br>
"
"what did walter cronkite say
<br><br>
"	"most trrusted tv reporter: 'what the hell is going on? i thought we were winning the war'
<br><br>

<br><br>
"
"what was johnsons response to cronkite
<br><br>
"	"'if i've lost cronkite then i've lost america'
<br><br>

<br><br>
"
"how was tet a communist defeat
<br><br>
"	"NV took several years to recover, SV had not risen up to help which damaged their claim to being a liberation force, america regained control of SV
<br><br>

<br><br>
"
"how was tet an american defeat?
<br><br>
"	"strengthened communist position in rural areas, SV pop. had not rallied to saigon regime, saigon regime not self-sustaining, media had made it seem a failure
<br><br>

<br><br>
"
"what did a us soldier say that demonstrated the questionableness of american foreign policy
<br><br>
"	"'we had to destroy the town to save it'
<br><br>

<br><br>
"
"what were the total deaths of the Tet offensive?
<br><br>
"	"3895 americans, 4954 SV, 58,373 communists
<br><br>

<br><br>
"
"What was the My Lai Massacre?
<br><br>
"	"March 16, 1968- lieutenant William Calley Jr., massacred 347 innocent civilians in a small village known as My Lai in S. Vietnam. He was searching for Vietcong rebels. stopped by us helicopter
<br><br>

<br><br>
"
"what did the my lai massacre demonstrate
<br><br>
"	"how the inability to fight the vc was driving the americans insane
<br><br>

<br><br>
"
"when did johnson announce he was pulling from the presidential race
<br><br>
"	"31 march 1968 - moral high ground or cowering away? start of de-escalation, he rejects request for more troops
<br><br>

<br><br>
"
"when were peace talks between NV and america
<br><br>
"	"may 1968
<br><br>

<br><br>
"
"What were nixon's main aims in foreign policy
<br><br>
"	"end war in Vietnam and decrease tensions with the USSR in China to help slow the costly arms race
<br><br>

<br><br>
"
"What were nixon's opinions on Vietnam before he was president
<br><br>
"	"He viewed Vietnam as 'essential to the survival of freedom' and he urged Johnson to escalate
<br><br>

<br><br>
"
"Which major event convinced Nixon that America had to leave Vietnam
<br><br>
"	"The tet offensive
<br><br>

<br><br>
"
"What did Nixon say of the South Vietnamese, demonstrating a policy of vietnamisation
<br><br>
"	"'If they do not assume the majority of their burden in their own defence, they cannot be saved'
<br><br>

<br><br>
"
"How has the world changed since Eisenhower had established South Vietnam
<br><br>
"	"The communist threat decreased due to sino Soviet divisions, this was a reason for Nixon to withdraw
<br><br>

<br><br>
"
"What did Nixon famously say in his inaugural address
<br><br>
"	"'The greatest honour history can bestow is the title of peacemaker'
<br><br>

<br><br>
"
"What was a more personal reason to end the Vietnam War
<br><br>
"	"Nixon knew that Johnson's presidency had been ruined by 'that damn war... I'm going to stop that war. Fast!'
<br><br>

<br><br>
"
"What was nixons main policy that he was pursuing in Vietnam
<br><br>
"	"Peace with honour. This meant they would not be accused of losing and involved the continued existence of an anti communist South Vietnam
<br><br>

<br><br>
"
"What were the intended methods of achieving peace with honour
<br><br>
"	"Vietnamisation, diplomatic pressure on USSR and China, military pressure on north Vietnam until it agreed to peace terms
<br><br>

<br><br>
"
"What was vietnamisation
<br><br>
"	"South Vietnam to takeover all the fighting against the communists
<br><br>

<br><br>
"
"What was their continued bombing of in 1969
<br><br>
"	"The Ho Chi Minh trail to sever supply lines and push north Vietnam to peace agreement
<br><br>

<br><br>
"
"Why was thieu excluded from the Paris peace talks in 1969
<br><br>
"	"Nixon was offering concessions that he opposed
<br><br>

<br><br>
"
"What was the result of the Paris peace talks in 1969
<br><br>
"	"Nothing worked and peace was nowhere nearer
<br><br>

<br><br>
"
"In 1969 despite withdrawals from vietnam what was still taking place
<br><br>
"	"Millions participating in anti war movements in autumn. in November 250,000 peaceful marchers converged on Washington
<br><br>

<br><br>
"
"What did the public discover in November 1969
<br><br>
"	"The my Lai massacre from 1968
<br><br>

<br><br>
"
"What did nixon say about the humiliation of America in relation to Vietnam
<br><br>
"	"'North Vietnam cannot defeat or humiliate the United states. Only Americans can do that'
<br><br>

<br><br>
"
"In January 1970 what did Nixon appear to be doing despite promising the opposite
<br><br>
"	"Escalating the war
<br><br>

<br><br>
"
"How was Nixon escalating the war in 1970
<br><br>
"	"Even as he withdrew troops he was continuing to carpet bomb north Vietnam and the Ho Chi Minh trail in Cambodia and Laos, and he sent 30,000 Americans and South Vietnamese soldiers into Cambodia, where the communist forces simply retreated into the jungle
<br><br>

<br><br>
"
"What in 1970 caused further protests and controversy
<br><br>
"	"The Cambodian offensive. 50% approved 39% disapproved
<br><br>

<br><br>
"
"What did Congress threaten to do in 1970
<br><br>
"	"They were fearful of protesting and the imperial presidency so they threatened to cut off funding for the war
<br><br>

<br><br>
"
"What was the result of testing vietnamisation in February 1971
<br><br>
"	"5000 elite South Vietnamese troops led the Lam Son offensive in Laos but communists routed them with new Soviet equipment
<br><br>

<br><br>
"
"What was the American public's response to the lam son offensive
<br><br>
"	"300,000 marched in Washington in spring in response
<br><br>

<br><br>
"
"How were negotiations going in 1971
<br><br>
"	"Badly, even though Nixon conceded that north Vietnam would not have to withdraw troops from Vietnam. China and the USSR urged north Vietnam to compromise as they favoured detente, but north Vietnam remained fixed on a South Vietnamese government with communists
<br><br>

<br><br>
"
"What did the communist stage in 1972
<br><br>
"	"A great spring offensive and the South Vietnamese forces crumbled
<br><br>

<br><br>
"
"What was nixons response to the north Vietnamese spring offensive in 1972
<br><br>
"	"these 'bastards have never been bombed like they're going to be bombed this time', and he bombed Hanoi and mined haiphong harbour
<br><br>

<br><br>
"
"How did Nixon try to rally the American people after Congress threatened to cut funding again in 1972
<br><br>
"	"'If the United states betrays the millions... who have relied on us... [this is] an invitation for the mighty to prey upon the meek all around the world'
<br><br>

<br><br>
"
"Who did Nixon know would support him in spite of the protests
<br><br>
"	"The silent majority
<br><br>

<br><br>
"
"What percentage of people supported the continuation of heavy bombing in 1972
<br><br>
"	"55%
<br><br>

<br><br>
"
"What percentage supported the continuation of the mining of haiphong harbour in 1972
<br><br>
"	"64%
<br><br>

<br><br>
"
"What percentage of people believed it was important for South Vietnam to not be communist in 1972
<br><br>
"	"74%
<br><br>

<br><br>
"
"In 1972 what was north Vietnam finally being driven to settle by
<br><br>
"	"Destructive bombing, failure of the offensive, American concessions, sino-Soviet pressure, and probable Nixon reelection
<br><br>

<br><br>
"
"What happened at the peace talks in 1972
<br><br>
"	"Both sides compromised: north vietnam conceded that thieu would stay in power but demanded a say in south vietnamese government; Kissinger offered a committee of national reconciliation (1/3 communist, 1/3 South Vietnamese, 1/3 neutral) which would oversee discussions of a constitution and elections thereby recognising that the communists were legitimate political force in South Vietnam, which thieu denied
<br><br>

<br><br>
"
"In October 1972 what did Kissinger announce, and what did Nixon do following this
<br><br>
"	"Kissinger announced that peace was at hand, but Nixon backed out because: thieu opposed the agreement, Nixon didn't think it was 'peace with honour', and he feared that it may be seen as giving into protesters and he had to impress the silent majority
<br><br>

<br><br>
"
"What did Nixon do once re elected in November 1972 in Vietnam
<br><br>
"	"He bombed and mined haiphong again over Christmas, called operation linebacker II, or the Christmas bombings
<br><br>

<br><br>
"
"What was the response to the Christmas bombings
<br><br>
"	"He caused worldwide uproar and several congressmen and newspapers questioned his sanity
<br><br>

<br><br>
"
"What was the point of the Christmas bombings
<br><br>
"	"He probably aimed to reassure theiu of US support, weaken north Vietnam so it couldl not attack soon after peace was signed, and disguise America's retreat from Vietnam and concessions in the peace negotiations
<br><br>

<br><br>
"
"When were the Paris peace accords signed
<br><br>
"	"January 27, 1973
<br><br>

<br><br>
"
"Which American played a great role in the negotiations
<br><br>
"	"Kissinger and he won the Nobel Peace Prize for it in 1973
<br><br>

<br><br>
"
"What were the terms for the north Vietnamese in the Paris peace accords
<br><br>
"	"North Vietnamese forces were allowed to stay in South Vietnam but they could not fight or be increased
<br><br>

<br><br>
"
"What were the terms in the Paris peace accords on South Vietnam
<br><br>
"	"South Vietnam would continue to exist and thieu would remain in power
<br><br>

<br><br>
"
"What was established as part of the Paris peace accords
<br><br>
"	"Committee of national reconciliation that would contain communists
<br><br>

<br><br>
"
"What did Nixon secretly promise to north Vietnam in a final American concession as part of the Paris peace accords
<br><br>
"	"Billions of dollars of reconstruction aid
<br><br>

<br><br>
"
"In what regard was the settlement peace with honour
<br><br>
"	"theiu and South Vietnam survived, and they were well supplied with US material (thieu had world's 4th largest Air Force)
<br><br>

<br><br>
"
"In what way was the settlement not peace with honour
<br><br>
"	"The settlement allowed communists to remain in South Vietnam
<br><br>

<br><br>
"
"What did congressional pressure mean about the conditions on which Nixon made the settlement
<br><br>
"	"Doubtful that he could have done any better but at least he'd withdrawn U.S. troops
<br><br>

<br><br>
"
"What did one parent say about their child after Vietnam
<br><br>
"	"'Now it's all gone down the drain and it hurts. What did he die for?'
<br><br>

<br><br>
"
"How many Americans served and what was the damage done to them
<br><br>
"	"Three million Americans served, 46,000 were killed in action, 10,000 through accidents, 300,000 wounded and many veterans and psychological problems
<br><br>

<br><br>
"
"What effect did the Vietnam War have on the presidents
<br><br>
"	"Ruined the presidency of Johnson and Nixon
<br><br>

<br><br>
"
"What did the anti war protests contribute to in the White House
<br><br>
"	"The 'siege mentality' which was an important factor behind the dubious activities that led to the Watergate scandal
<br><br>

<br><br>
"
"In a 1977 interview what did David Frost say to Nixon
<br><br>
"	"that he was 'perhaps... the last American casualty of the Vietnam War'
<br><br>

<br><br>
"
"What was the ultimate impact of vietnam on the international image of America
<br><br>
"	"Completely humiliated them
<br><br>

<br><br>
"
"How did the USSR take advantage of Americas preoccupation with Vietnam
<br><br>
"	"They pursued an expansionist policy in the third world nations such as in Afghanistan
<br><br>

<br><br>
"
"What was the impact on South East Asia from the Vietnam War
<br><br>
"	"Expansion into two neutral countries of Cambodia and Laos caused them to collapse into far left dictatorships in 1975
<br><br>

<br><br>
"
"What long lasting environmental impacts were there in Vietnam
<br><br>
"	"Agent Orange in napalm both toxic and had long lasting environmental impact
<br><br>

<br><br>
"
"What impact does Agent Orange still have
<br><br>
"	"Still showing in birth defects in cancer in Americans as well as the Vietnamese
<br><br>

<br><br>
"
"How many US casualties were there
<br><br>
"	"58,000 and 20,000 under Nixon
<br><br>

<br><br>
"
"How many casualties of South Vietnamese fighters
<br><br>
"	"250,000
<br><br>

<br><br>
"
"How many casualties of north Vietnamese fighters were there
<br><br>
"	"1.2 million
<br><br>

<br><br>
"
"How many casualties of civilians were there
<br><br>
"	"Up to 2,000,000
<br><br>

<br><br>
"
"What was the financial cost of the Vietnam War
<br><br>
"	"$515 billion including $140 billion in economic aid
<br><br>

<br><br>
"
"What was some of the extra terms of the Paris peace accords
<br><br>
"	"Withdrawal of all U.S. forces and return of prisoners of war
<br><br>

<br><br>
"
"What does America say they will do if the north Vietnamese attack once they have withdrawn
<br><br>
"	"But they will re enter Vietnam however 27 months later Saigon falls to north Vietnam America flees and breaks their promise in April 1975
<br><br>

<br><br>
"
"Before he became president which act did Nixon break to do what
<br><br>
"	"He broke the Logan act to go behind the American government to tell the South Vietnamese to wait until he is president to get a better deal
<br><br>

<br><br>
"
"Who was anna chennault
<br><br>
"	"a war correspondent and prominent Republican member of the U.S. China Lobby, who was used to tell the South Vietnamese government to drag their feet but Nixon denies knowing her
<br><br>

<br><br>
"
"What were the American pilots who bombed the Ho Chi Minh trail told
<br><br>
"	"That they were bombing South Vietnam, not the neutral countries of Cambodia and Laos
<br><br>

<br><br>
"
"how did Kissinger lie to Congress in February 1971
<br><br>
"	"He admitted to the bombing of Laos, but then claimed 'that no American stationed in Laos had ever been killed in ground combat operation'. two days later, it emerged that an US army captain had been killed fighting in Laos
<br><br>

<br><br>
"
"What were the Pentagon Papers?
<br><br>
"	"A secret government study leaked Halo by CIA employee Daniel ellsberg to and published by the New York Times in June 1971, that was a detailed report of American involvement in Vietnam from 1945 to 1967 which the American population did not know about
<br><br>

<br><br>
"
"When was the Nixon doctrine speech
<br><br>
"	"25th of July 1969
<br><br>

<br><br>
"
"What did Nixon state in the Nixon doctrine speech
<br><br>
"	"The America will continue to bring peace and assist countries in Asia to achieve this but will not have a repeat of Vietnam by getting heavily involved
<br><br>

<br><br>
"
"What are three quotes from the Nixon doctrine speech
<br><br>
"	"'Responsibility for it to be taken by the Asian nations themselves', '[Asia poses] the greatest threat to the peace of the world... the United states should continue to play a significant role' and 'peace through partnership
<br><br>

<br><br>
"
"What impact did the Nixon doctrine have on US foreign policy
<br><br>
"	"led to a change in foreign policy to not be constantly on the offence with communism and led to détente and rapprochement
<br><br>

<br><br>
"
"What did the Paris peace accords say America would do to help South Vietnam
<br><br>
"	"That they would protect it through financial aid but Congress cut the aid by 50% in 1973 and then again in 1974 because American taxpayers resented the $150 billion expenditure in Vietnam
<br><br>

<br><br>
"
"When did the communists begin a major offensive against South Vietnam
<br><br>
"	"Winter of 1974 to 1975
<br><br>

<br><br>
"
"What had Nixon secretly assured Thieu of in Vietnam
<br><br>
"	"America would support South Vietnam if north Vietnam invaded but neither Congress nor the public were interested in this when ford appealed for it
<br><br>

<br><br>
"
"When did thieu flee Vietnam
<br><br>
"	"21st of April 1975
<br><br>

<br><br>
"
"What did thieu accuse America of before fleeing Vietnam
<br><br>
"	"Of selling out
<br><br>

<br><br>
"
"How did Ford respond to thieu's accusations of the USA selling out on Vietnam
<br><br>
"	"On the 23rd of April he said ' America can regain a sense of pride that existed before Vietnam,... but it cannot be achieved by refighting a war that is finished as far as America is concerned'
<br><br>

<br><br>
"
"When was the fall of Saigon?
<br><br>
"	"April 30, 1975
<br><br>

<br><br>
"
"The images of what confirmed the American decline of power for many Americans
<br><br>
"	"The six thousand Americans being evacuated from Vietnam
<br><br>

<br><br>
"
"What was the fall of Saigon followed by
<br><br>
"	"The full of Cambodia and Laos to far left wing dictatorships both in 1975
<br><br>

<br><br>
"
"Who did Ford retain from nixon's administration
<br><br>
"	"Kissinger as Secretary of State and he relied heavily on him
<br><br>

<br><br>
"
"Aside from Vietnam what did Johnson aim to do in Europe
<br><br>
"	"Strengthen the Atlantic community through the modernisation of NATO, greater European integration and improved east West relations
<br><br>

<br><br>
"
"What impact did Vietnam have on Americas relations with its western allies
<br><br>
"	"It damaged them
<br><br>

<br><br>
"
"How many foreign allies did the USA have and which of those sent troops to Vietnam
<br><br>
"	"40 foreign allies but only Australia, New Zealand, South Korea and Thailand sent troops to Vietnam, and South Korea and Thailand had been bribed to do so
<br><br>

<br><br>
"
"What role did Japan play
<br><br>
"	"They criticised the escalation but sold supplies to both sides
<br><br>

<br><br>
"
"What did Canadian Prime Minister Lester Pearson do
<br><br>
"	"He made a critical speech in Philadelphia in 1965
<br><br>

<br><br>
"
"Who emerged as one of the most significant critics of the Vietnam War
<br><br>
"	"French Prime Minister Charles de Gaulle. He greatly damaged the United States and divided and weakened the western allies
<br><br>

<br><br>
"
"How did the French Prime Minister de gaulle portray America as unreliable in Europe
<br><br>
"	"He repeatedly told representatives of other nations that as the USA was bogged down in Vietnam it cannot be counted on if the Soviets invaded Europe. This made them appear not able to commit to their Cold War 'responsibility' in Europe
<br><br>

<br><br>
"
"What was the quote from the French Prime Minister of him criticising the Vietnam War
<br><br>
"	"The 'bombing of a very small people by a very large one' in an 'unjust... detestable war'
<br><br>

<br><br>
"
"How did the French Prime Minister take advantage of the American preoccupation in South East Asia
<br><br>
"	"He assumed the leadership of West Europe and undermined US influence. For example, he tried to win West Germany from the western alliance- they remained in NATO but joined France in establishing economic and cultural ties within the eastern bloc despite US opposition
<br><br>

<br><br>
"
"When did France withdraw from NATO and what impact did this have
<br><br>
"	"1966 and this meant 26,000 U.S. troops had to leave NATO's headquarters in France
<br><br>

<br><br>
"
"How did the French Prime Minister try to damage US economy
<br><br>
"	"He encouraged speculation against the dollar in the mid 1960s
<br><br>

<br><br>
"
"Why do people think that the tet offensive was responsible for the start of the withdrawal from Vietnam
<br><br>
"	"Because after Tet, Johnson rejected repeated jcs request for more troops and because of the popular reaction to the media coverage
<br><br>

<br><br>
"
"In what way was the view that the tet offensive was the start of withdrawal wrong
<br><br>
"	"Because it had been obvious to the Johnson administration that the war was unwinnable for a while, the tet offensive simply confirmed what Johnson and Clifford already knew
<br><br>

<br><br>
"
"What did mcnamara say to Johnson in early 1967
<br><br>
"	"'The picture of the world's greatest superpower... trying to pound a tiny, backwards nation into submission... is not a pretty one'
<br><br>

<br><br>
"
"What did Mcnamara in his last White House conference
<br><br>
"	"'*******ed bombing campaign... and we hadn't got a *******ed thing for it'
<br><br>

<br><br>
"
"What did Clark Clifford doubt
<br><br>
"	"The domino theory and the wisdom of US involvement
<br><br>

<br><br>
"
