#separator:tab
#html:true
"Why did many fear another depression?
<br><br>
[sound:quizlet-1754475619430405-front.mp3]"	"Factories laid-off workers and 12 million demobilised veterans returned home
<br><br>

<br><br>
[sound:quizlet-1754475619430405-back.mp3]"
"What were some other benefits of the 1949 housing act
<br><br>
"	"Contributed to construction boom, creating employment, and included measures of slum clearance and urban renewal
<br><br>

<br><br>
"
"What impact did Truman's fair deal have on education
<br><br>
"	"Less success as it was seen as state rather than federal responsibility so little was accomplished apart from his national school lunch act in 1946
<br><br>

<br><br>
"
"What did congress do with many of truman's fair deal proposals?
<br><br>
"	"They totally rejected them, including free universal healthcare. The AMA attacked it as socialised medicine
<br><br>

<br><br>
"
"What were some of the reasons truman failed to get his fair deal?
<br><br>
"	"Often tactless when dealing with Congress, he needed congressional assistance on Communist aversion and Korean War so he had to give up on his fair deal and many felt the new deal had gone far enough. Healthcare and low-cost housing was too revolutionary, and Congress reacted strongly against any further increase of presidential power after Roosevelt
<br><br>

<br><br>
"
"When was the red scare?
<br><br>
"	"1946 to 1953
<br><br>

<br><br>
"
"What fuelled the red scare initially?
<br><br>
"	"House of Representatives committee on un-American activities (HUAC), Republican ambitions, communist successes and Truman himself.
<br><br>

<br><br>
"
"Who were the Hollywood 10?
<br><br>
"	"Writers and directors who were associated with the American Communist Party, and were convicted of contempt of Congress, and given one-year prison sentences after investigations by HUAC
<br><br>

<br><br>
"
"What did Republican senator Vandenberg say to Truman before his Truman doctrine speech?
<br><br>
"	"1947 he advised him to ""scare the hell"" out of the American people in order to gain their support
<br><br>

<br><br>
"
"What was executive order 9835
<br><br>
"	"an investigation into the loyalty of federal employees
<br><br>

<br><br>
"
"What did Truman not stop the Justice Department and FBI from doing
<br><br>
"	"Hunting out Communists and FBI chief J. Edgar Hoover ordered his men to follow all leads on supposed subversives, however trivial
<br><br>

<br><br>
"
"How many investigation were carried out?
<br><br>
"	"Between 1947-1952 over 3 million investigations, several thousand resignations and over 1000 dismissals
<br><br>

<br><br>
"
"What did an aide say Truman thought about the red scare?
<br><br>
"	"That it was ""a load of baloney"" and he privately compared Hoover and the FBI to the gestapo
<br><br>

<br><br>
"
"What was the McCarran Act?
<br><br>
"	"International security act 1950 said members of the communist organisations had to register with the federal government or face prison and fines. Those registered could be denied passports, or deported. truman vetoed this, but it was overridden.
<br><br>

<br><br>
"
"What were some communist successes?
<br><br>
"	"Soviets first atomic bomb, 1949, China became communist 1949, and in 1950 where were several high-profile spy scandals, including Alger Hiss an American government official
<br><br>

<br><br>
"
"What was one of the Republican Party's main ways of attacking Truman administration and how effective was it?
<br><br>
"	"Claiming it was soft and communism and 1948 poll found that 73% of Americans found Truman too soft on the Soviets
<br><br>

<br><br>
"
"What did poll of Washington correspondents in 1949 reveal
<br><br>
"	"That McCarthy was the worst senator
<br><br>

<br><br>
"
"What did McCarthy do to get good publicity?
<br><br>
"	"He made several speech is an early 1950s, that were patriotic
<br><br>

<br><br>
"
"Why did the senate establish a special committee to investigate mccarthy's charges
<br><br>
"	"He claimed they were communists in the state department but the number he recalled often varied. They declared his lies a ""fraud and a hoax""
<br><br>

<br><br>
"
"Who was Democrat tydings and what happened to him?
<br><br>
"	"He led the special committee investigating McCarthy and McCarthy supporters in Maryland circulated a fake photo of tidings and US Communist leader and in November 1950 he lost his seat.
<br><br>

<br><br>
"
"How many people lost their jobs because of the red scare?
<br><br>
"	"500 state and local government employees, 600 school teachers and 150 college professors lost their jobs
<br><br>

<br><br>
"
"How did McCarthy get away with his lies?
<br><br>
"	"Hysterical anti-Communism, Republican ambitions, good relations with the press, democratic fears of defending the accused, Republican reluctance to challenge him and ""mindless, timid, conformity"" of Americans during the Cold War
<br><br>

<br><br>
"
"What did Truman's fear of McCarthyite attacks make him do?
<br><br>
"	"Took America into Korean War and despite lowered tensions after Stalin's death there were still lack of negotiations showing how domestic issues affected foreign policy
<br><br>

<br><br>
"
