#separator:tab
#html:true
"Where was Eisenhower born and raised
<br><br>
"	"Born in Texas raised in Kansas
<br><br>

<br><br>
"
"What was one of Nixon's winning tactics
<br><br>
"	"Accuse opposition of Communist sympathies or tendencies
<br><br>

<br><br>
"
"What did Eisenhower say of Nixon That meant he used him to attack Democrats
<br><br>
"	"""He can sometimes take positions which are more political than it would be expected I take ""
<br><br>

<br><br>
"
"What did Eisenhower have to do when Nixon became too aggressive against Democrats
<br><br>
"	"told him to turn it down in 1953 because of some Democrats who were likely to lean Republican
<br><br>

<br><br>
"
"Whats set nixon apart from the rest of the Eisenhower administration
<br><br>
"	"Only member with congressional experience
<br><br>

<br><br>
"
"What was nixon's relationship with McCarthy
<br><br>
"	"Prevented him from damaging administration. Got him on side occasionally during 1953, but mostly failed to restrain him
<br><br>

<br><br>
"
"What was Nixon's stance on Civil Rights
<br><br>
"	"Surprisingly liberal by contemporary standards. He made speeches against discrimination and inequality
<br><br>

<br><br>
"
"How Was Nixon used in foreign policy
<br><br>
"	"""Goodwill ambassador to foreign nations"" Sometimes contributed to get relations, other time seem to be pursuing good press back home
<br><br>

<br><br>
"
"How many House Republicans supported stick with Dick to keep him on the ticket in 1956
<br><br>
"	"180 of 203
<br><br>

<br><br>
"
"Privately what did Ike say of other candidates for vice president
<br><br>
"	"He was notoriously critical of the capacity of others and thought Nixon was the best of a bad bunch
<br><br>

<br><br>
"
"Where were they tensions in the Republican party
<br><br>
"	"Between the right wing conservative old guard and the more moderate Eisenhower. After Taft died in 1953 he found it even harder to gain cooperation.
<br><br>

<br><br>
"
"What did Eisenhower say of senator taft's replacement Senator William knowland
<br><br>
"	"""How stupid can you get? ""
<br><br>

<br><br>
"
"What did Eisenhower frequently fantasise about doing
<br><br>
"	"Leaving the Republican party and setting up 'an intelligent group of Independents'. Said to Nixon ""I think what we need is a new party ""
<br><br>

<br><br>
"
"When did the Republicans have the worst defeat since the Great depression And what caused this
<br><br>
"	"1958. Economic recession, perception that Eisenhowers old and tired, aggressive democrat campaign ""six years of leaderless vacillation "", frequently unimpressive Republican candidates and party divisions
<br><br>

<br><br>
"
"What area were there constant disagreements on between Eisenhower and his party
<br><br>
"	"Foreign policy
<br><br>

<br><br>
"
"Who did Eisenhower get on well with in Congress
<br><br>
"	"Leading congressional Democrats
<br><br>

<br><br>
"
"What did LBJ say of eisenhower
<br><br>
"	"""Eisenhower was so popular, whoever was supporting him would be on the popular side""
<br><br>

<br><br>
"
"What did Eisenhower disagree with republicans on (4 things)
<br><br>
"	"Tax cuts (Eisenhower agreed to tax cuts in 1954 but rejected demands for more), new deal legislation (old guard disappointed he did not dismantle it), investigations of communism in the government (Eisenhower was considered lax by old guard) and support for mccarthy
<br><br>

<br><br>
"
"What did Eisenhower privately describe McCarthy as
<br><br>
"	"""A pimple on the path of progress"" and ""an embarrassment for the administration ""
<br><br>

<br><br>
"
"What percentage of people admired mccarthy
<br><br>
"	"August 1954 poll revealed 50% of Americans and 62% of Republicans
<br><br>

<br><br>
"
"Why did Eisenhower allow McCarthy to continue as he did
<br><br>
"	"""Would have made the presidency ridiculous"" to ""get into a pissing Contest with that skunk""
<br><br>

<br><br>
"
"Why did Eisenhower not stop mccarthy
<br><br>
"	"Believed he would ultimately destroy himself
<br><br>

<br><br>
"
"What caused McCarthy's downfall
<br><br>
"	"Spring 1954 - he tried to lead investigation into supposed subversives in military. Eisenhower refused him access to personal records. During the court hearings he had no concrete evidence.
<br><br>

<br><br>
"
"Why did Eisenhower refuse McCarthy access to administration personnel and records
<br><br>
"	"During the Cold War it was best to keep it secret. This was seen as an exercise of expansionist executive powers
<br><br>

<br><br>
"
"How did McCarthy appear during the televised hearings
<br><br>
"	"Drunk, was reduced to bullying bluster which alienated audiences
<br><br>

<br><br>
"
"When was McCarthy censured
<br><br>
"	"Popularity polls dropped March 1955 the senate censured him
<br><br>

<br><br>
"
"What did Eisenhower say his two Great Aims were
<br><br>
"	"Peace and ""to build a strong progressive Republican Party"". Choice of extremely conservative Barry Goldwater in 1964 as presidential candidate suggests that he failed in the latter
<br><br>

<br><br>
"
"McCarthy had (4 things):
<br><br>
"	"Made it difficult to decrease Cold War tensions, damaged the Republican Party, and Inflicted misery on thousands of Americans, endangered principle of free speech
<br><br>

<br><br>
"
