#separator:tab
#html:true
"What movement confirmed the shift from mitigation to mass direct action
<br><br>
"	"The greensboro sit ins
<br><br>

<br><br>
"
"What did the Kennedy administration admit about Birmingham?
<br><br>
"	"It was crucial in persuading it to push the bill that would become the 1964, civil rights bill
<br><br>

<br><br>
"
"What did Birmingham inspire?
<br><br>
"	"Protests throughout the south in the summer of 1963 ""we are on the threshold of a significant breakthrough, and the greatest weapon is the mass demonstration""
<br><br>

<br><br>
"
"When was the march on Washington?
<br><br>
"	"August 1963
<br><br>

<br><br>
"
"What did the march on Washington aim to promote?
<br><br>
"	"Passage of Kennedy's civil rights bill and executive action to increase black employment, and king wanted to demonstrate the power of nonviolent resistance, because violent measures were growing in popularity
<br><br>

<br><br>
"
"What was the demographic of the crowd at the March on Washington?
<br><br>
"	"1/4 of the predominantly middle-class crowd were white
<br><br>

<br><br>
"
"How big was the crowd at the march on Washington?
<br><br>
"	"Around 250,000
<br><br>

<br><br>
"
"What worked so well about King's ""i had a dream"" speech
<br><br>
"	"It held powerful appeal to white America. he said his dream was ""deeply rooted in the American dream"", mentioned the declaration of Independence, quoting that ""all men are created equal"" and he also mentioned the Bible
<br><br>

<br><br>
"
"What did the New York Times think of the March Washington with respect Congress
<br><br>
"	"Believed it left Congress unmoved, but perhaps played a part in the passage of the 1964 civil rights act
<br><br>

<br><br>
"
"What did many leading citizens in the south belong to?
<br><br>
"	"Citizens' councils, and some even joined the KKK
<br><br>

<br><br>
"
"What did businessmen think about segregation?
<br><br>
"	"They knew it could damage business, but integration could lead to white backlash
<br><br>

<br><br>
"
"Why did some white businessmen resegregate in st augustine, Florida?
<br><br>
"	"Because of picketing and firebombing by the KKK
<br><br>

<br><br>
"
"What happened to Hazel Brannon Smith, a Mississippi newspaper owner?
<br><br>
"	"""My newspapers were boycotted, bombed burnt... My life was threatened, and my husband lost his job"" because of her pro-civil rights editorials
<br><br>

<br><br>
"
"What are white juries reluctant to do?
<br><br>
"	"Convicted whites who had murdered African-Americans
<br><br>

<br><br>
"
"Who is Medgar Evers?
<br><br>
"	"Civil Rights activist; killed outside his home in Jackson, Mississippi 1963 and the white murderer was found not guilty by two juries
<br><br>

<br><br>
"
"What did sympathetic white Americans dislike about the methods Of civil rights
<br><br>
"	"They counselled patience, and considered the protests dangerously proactive
<br><br>

<br><br>
"
"what percentage of Americans opposed the freedom rides?
<br><br>
"	"1961:63%
<br><br>

<br><br>
"
"What did polls reveal most Americans believed about integration
<br><br>
"	"That it should evolve gradually rather than through federal enforcement
<br><br>

<br><br>
"
"Where did civil rights place in the list of voter concerns?
<br><br>
"	"Bottom, but became top after Birmingham and the march on Washington
<br><br>

<br><br>
"
"Why did Kennedy's bill become stuck in Congress in 1963
<br><br>
"	"Congress responded to the electorate, which were very divided, And many disliked how fast civil rights was moving
<br><br>

<br><br>
"
"Why did many southern politicians seek to retain segregation?
<br><br>
"	"Many African-Americans were still unable to vote, and so they were responding to a white racist electorate
<br><br>

<br><br>
"
"What did southern democrats work to do?
<br><br>
"	"Dilute or block any civil rights legislation in Congress, and uphold segregation in their states and local communities
<br><br>

<br><br>
"
"What happened to southern politicians who failed to support segregation
<br><br>
"	"They failed to get elected, for example, George, Wallace, Alabama
<br><br>

<br><br>
"
"What was George Wallace like in his 1958 campaign?
<br><br>
"	"He was supported by the NAACP and critical of the KKK
<br><br>

<br><br>
"
"How did Wallace fair in the 1958 election?
<br><br>
"	"He lost heavily - previously white voters had voted for moderates like himself, but the bus boycott had frighten them
<br><br>

<br><br>
"
"What was Wallace like in his 1962 campaign
<br><br>
"	"He declared his opposition to black voter registration, blamed integration for increasing crime and unemployment, and worked closely with the kkk
<br><br>

<br><br>
"
"How did Wallace do in the 1962 election?
<br><br>
"	"He won the election by the biggest margin ever and in January 1963, in his inaugural address, He said he rejected the federal government ""tyranny"", declared support for states rights and called for ""segregation, now segregation tomorrow, and segregation forever""
<br><br>

<br><br>
"
"What was the last state to integrate?
<br><br>
"	"Alabama
<br><br>

<br><br>
"
"What did Kennedy do to ensure the integration of the University of Alabama
<br><br>
"	"1963 he sent the federalised National Guard. Wallace stood in the way on the steps.
<br><br>

<br><br>
"
"What did Kennedy do when he was a senator?
<br><br>
"	"Oppose Eisenhower civil rights bill
<br><br>

<br><br>
"
"What did Kennedy declare in 1960 about racism?
<br><br>
"	"That racism is immoral and damaging to America's national image. He promised if elected to help African-Americans.
<br><br>

<br><br>
"
"What did Kennedy promise about discrimination in housing?
<br><br>
"	"He said it could be ended at the stroke of the presidential pen - however, he did nothing and civil rights activists inundated the White House with pens
<br><br>

<br><br>
"
"What did the civil rights commission estimate in 1960
<br><br>
"	"That 57% of black housing was of substandard quality
<br><br>

<br><br>
"
"Why did Kennedy not attempt to get civil rights legislation from Congress?
<br><br>
"	"His electoral victory had been narrow, polls showed voters were unenthusiastic about CR and alienating southerners in Congress would damage the rest of his legislative program
<br><br>

<br><br>
"
"What did Kennedy opt for in terms of trying to help and why?
<br><br>
"	"Executive action over legislation through Congress, because of tricky relations with Congress
<br><br>

<br><br>
"
"What number of the federal employees were black?
<br><br>
"	"48 / 13,649 and most of them were chauffeurs
<br><br>

<br><br>
"
"What did Kennedy do upon hearing about the very low numbers of black federal employees
<br><br>
"	"He appointed 40 African-Americans to top posts, such as associate White House press secretary appointed five black federal judges, including Thurgood Marshall
<br><br>

<br><br>
"
"What percentage of Deep south judicial appointments by Kennedy were segregationists?
<br><br>
"	"20%
<br><br>

<br><br>
"
"What was the equal employment opportunity commission
<br><br>
"	"The EEOC aimed to ensure equal employment opportunities for federal employees, and in companies with federal government contracts, which Kennedy created using his executive powers
<br><br>

<br><br>
"
"How was the EEOC successful?
<br><br>
"	"Had some success, such as integration and promotion of African-Americans at the Lockheed aircraft plant in Georgia, but progress was difficult as employers complained that their employees preferred segregated facilities
<br><br>

<br><br>
"
"How did his administration use the law courts to combat inequality?
<br><br>
"	"Bobby Kennedy threatened Louisiana officials with contempt of court sequences for denying funding to newly desegregated schools, which hastened desegregation in New Orleans, Atlanta and Memphis
<br><br>

<br><br>
"
"How many cases did the Kennedy Justice Department bring against illegal violations of black voting rights?
<br><br>
"	"57. But they retreated on voting rights in Mississippi, 1963, after influential democrat senators protested.
<br><br>

<br><br>
"
"What sort of symbolic gestures did Kennedy display?
<br><br>
"	"Invited more black guests to the White House than any previous president - he rejected their requests for legislation, but NAACP leader Ray Wilkins said everyone was ""charmed by the manner in which they had been turned down""
<br><br>

<br><br>
"
"What did Kennedy said about the SNCC?
<br><br>
"	"That they were unnecessarily provocative ""sons of bitches"" and claimed ""SNCC has got an investment in violence""
<br><br>

<br><br>
"
"What did Kennedy say about the freedom riders?
<br><br>
"	"He called them unpatriotic for exposing American domestic problems during the Cold War
<br><br>

<br><br>
"
"What happened at the University of Mississippi in 1962
<br><br>
"	"James Meredith served in the US air force and was rejected from the white University, but he obtained legal aid from the NAACP and a Supreme Court decision in his favour. Bobby Kennedy sent 500 marshals to ensure the enrolment, and when they clashed with a white racist mob two people were shot and one third of the marshals injured. Kennedy then sent in the Mississippi National Guard and meredith was successfully enrolled
<br><br>

<br><br>
"
"What did JFK say about the pictures of bull collars treatment in Birmingham?
<br><br>
"	"That they sickened him, and he could 'well understand' black exasperation
<br><br>

<br><br>
"
"What did the events in Birmingham encourage JFK to do?
<br><br>
"	"Promote civil rights bill, even though he knew it would be hard to get congressional Corporation
<br><br>

<br><br>
"
"What did Kennedy say about trying to get a civil rights bill through Congress
<br><br>
"	"""A good many programs I care about may go down the drain as a result of this""
<br><br>

<br><br>
"
"What actually helped to pass the civil rights bill through Congress
<br><br>
"	"His assassination
<br><br>

<br><br>
"
