#separator:tab
#html:true
"What are the four areas of the new frontier?
<br><br>
"	"Science and space; peace and war; ignorance and prejudice; poverty and surplus
<br><br>

<br><br>
"
"How had cities changed in the north of America
<br><br>
"	"Black migration away from the south and ""white flight"" to the suburbs. The northern cities became increasingly characterised by ghettos with poor quality housing and no access to good schools, which fuelled the poverty trap, and led to urban decay
<br><br>

<br><br>
"
"What did female labour activists helps persuade Kennedy to do?
<br><br>
"	"Establish his commission on the status of women
<br><br>

<br><br>
"
"What did the commission on the status of women do?
<br><br>
"	"It called for equal pay legislation which was passed in 1963, but it also suggested special training for marriage and motherhood and rejected feminist demands for an ERA in the constitution
<br><br>

<br><br>
"
"What jobs do most women remain in?
<br><br>
"	"Waitresses, cleaners, shop assitants, or secretaries, and educated women were expected to hold ""female occupations"" such as nursing or teaching
<br><br>

<br><br>
"
"What did an airline do?
<br><br>
"	"Fired women when they were married or turned 32. Congresswoman Martha Griffiths said ""what are you running, an airport or a whorehouse? ""
<br><br>

<br><br>
"
"What percentage of teachers women
<br><br>
"	"80%, but only 10% of high school principals
<br><br>

<br><br>
"
"What percentage of doctors were woman?
<br><br>
"	"7%
<br><br>

<br><br>
"
"What percentage of managers were women
<br><br>
"	"7%
<br><br>

<br><br>
"
"What percentage of lawyers were women?
<br><br>
"	"3%
<br><br>

<br><br>
"
"How much were women's wages compared to male counterparts
<br><br>
"	"Often half
<br><br>

<br><br>
"
"What did 18 states refused to allow?
<br><br>
"	"Female jurors
<br><br>

<br><br>
"
"What did six states say about women
<br><br>
"	"They could not enter into financial agreements without a male cosignatory
<br><br>

<br><br>
"
"What did some states do to married women?
<br><br>
"	"Prohibited married women from accessing contraception
<br><br>

<br><br>
"
"How did Schools treat pregnant students and teachers?
<br><br>
"	"Expelled and fired them
<br><br>

<br><br>
"
"Why did many women take refuge in tranquilizers and alcohol?
<br><br>
"	"Because of being confined to domesticity
<br><br>

<br><br>
"
"What did Betty Friedan write?
<br><br>
"	"The Feminine Mystique (1963) which drew attention to the dissatisfaction of many middle-class housewives, and she urged women to ""break free""
<br><br>

<br><br>
"
"What were many women inspired by?
<br><br>
"	"The success of the civil rights movement
<br><br>

<br><br>
"
"What did Stokely Carmichael leader of the SNCC say about women
<br><br>
"	"The best position for a woman was ""horizontal""
<br><br>

<br><br>
"
"What percentage of the SDS was women?
<br><br>
"	"33% of members, but only 6% of leadership
<br><br>

<br><br>
"
"How did an SDS meeting go on women's rights?
<br><br>
"	"They had approved a pro women's rights resolution, but the following debate was filled with male ridicule and contempt for gender equality
<br><br>

<br><br>
"
"What was unprecedented during the 60s
<br><br>
"	"Student unrest
<br><br>

<br><br>
"
"What does SDS stand for?
<br><br>
"	"Students for a Democratic Society
<br><br>

<br><br>
"
"When was SDS founded?
<br><br>
"	"1960, by Tom Hayden and other University of Michigan students, inspired by Socialists and the beat generation
<br><br>

<br><br>
"
"What did SDS, SNCC, CORE and student peace union call on students to do in 1962
<br><br>
"	"Change the political and social system; liberate the poor, racial minorities, and all enslaved by conformity; support of peaceful foreign policy
<br><br>

<br><br>
"
"What did the SDS emphasise?
<br><br>
"	"The potential of the individual and they called for a new left consisting of younger people
<br><br>

<br><br>
"
"When did the SDS actually come to national attention?
<br><br>
"	"Not until the anti-Vietnam war protests in the later 1960s, but their beginnings show how the American dream was an illusion for some
<br><br>

<br><br>
"
"What was Kennedy's peace corps?
<br><br>
"	"Established 1961, Young volunteers were sent to help poorer nations to help them through teaching and technical aid
<br><br>

<br><br>
"
"What did Kennedy say about his Peace Corps
<br><br>
"	"that it allowed Americans to fulfil their responsibilities to 'world developments' and 'World Peace'
<br><br>

<br><br>
"
"Despite claiming that his Peace Corps was not propaganda what did he privately express
<br><br>
"	"The hope that it would counter Soviet propaganda that the USA was selfishly exploiting weak nations
<br><br>

<br><br>
"
"What percentage of Americans approved of Kennedys Peace Corps
<br><br>
"	"71%
<br><br>

<br><br>
"
"How many Americans volunteered for Kennedys Peace Corps
<br><br>
"	"tens of thousands
<br><br>

<br><br>
"
"For how many years was Kennedys Peace Corps voted to finance it
<br><br>
"	"50 years after its establishment
<br><br>

<br><br>
"
"What affect did Kennedy's Peace Corps have abroad
<br><br>
"	"Many volunteers impressed their host nations and improved America's image there
<br><br>

<br><br>
"
"What were the series of humiliations that America suffered in terms of the space race
<br><br>
"	"Sputnik in October 1957 which caused hysteria, US satellite launch failure in November 1957 which was incredibly embarrassing and April 1961 Soviet Yuri Gagarin orbited the earth
<br><br>

<br><br>
"
"What did Kennedy say to Congress in may 1961 about space race
<br><br>
"	"He told Congress he wanted a man on the moon by the end of the decade and this was achieved
<br><br>

<br><br>
"
"What was going to be the cost of putting a man on the moon
<br><br>
"	"$40 billion or $225 each American
<br><br>

<br><br>
"
"What did Kennedy claim about the aim to get a man on the moon and its expenses
<br><br>
"	"In 1962 he claimed that such difficult goals tested and measured a nation's greatness
<br><br>

<br><br>
"
"What was Kennedy's real aim in the advancement of science and space
<br><br>
"	"Cold War success, he informed NASA's chief he was not interested in space but only beating Soviets
<br><br>

<br><br>
"
"What percentage of Americans favoured 'the moon project'
<br><br>
"	"58% by 1965
<br><br>

<br><br>
"
