#separator:tab
#html:true
"When was the third home rule bill passed
<br><br>
"	"1912
<br><br>

<br><br>
"
"What overall made the British period of dominance in the Middle East in the inter war period extremely difficult
<br><br>
"	"Conflicting ambitions of wanting to be the hegemonic power in the Middle East and the promises made to several nations combined with britain's already overstretched commitments worldwide
<br><br>

<br><br>
"
"What proportion of ships through the Suez Canal in the 1920s were British registered
<br><br>
"	"3/4
<br><br>

<br><br>
"
"Why was Egypt important
<br><br>
"	"The Suez Canal, prospective oil, and strategic location in the centre of the Middle East particularly in the 1930s because of the rise of fascism in Europe, the Mediterranean and the Far East, continuing importance of the cotton industry
<br><br>

<br><br>
"
"Until the 1950s what did Britain have in Egypt military wise
<br><br>
"	"The biggest RAF base in the world
<br><br>

<br><br>
"
"What did the wafd appeal for in 1918
<br><br>
"	"Egyptian independence and they were influenced by president Wilson, and they did so at Versailles
<br><br>

<br><br>
"
"What was the demographic of the wafd
<br><br>
"	"They were dominated by landowning class and professionals. They were conservative nationalist party
<br><br>

<br><br>
"
"What does Curzon do in 1919
<br><br>
"	"In March 1919, he miscalculates the threat of the wafd and as Foreign Secretary orders a very harsh response to them campaigning for Egyptian independence. leading Members of the wafd were arrested and exiled.
<br><br>

<br><br>
"
"What happened in Egypt after curzon's harsh response to the wafd
<br><br>
"	"It led to widespread unrest of riots and strikes in towns as well as sabotage of infrastructure
<br><br>

<br><br>
"
"What did the British do during the uprisings in Egypt?
<br><br>
"	"They showed extreme violence and racial contempt. They killed around 1500 people in eight weeks and used the air force as it was cheaper and more effective. However, it was much more brutal. This showed that they were under significant threat to be using such extreme violence and again exposed the violence that they preached to not to partake in. This causes yet another rise in nationalism
<br><br>

<br><br>
"
"What concessions were made after the uprisings?
<br><br>
"	"General Allenby was brought in to deal with the situation and Wafd leaders who were exiled by curzon are brought back. He understood the Egyptians in a way curzon did not. his first concession was to release the wafd from prison
<br><br>

<br><br>
"
"What was the Milner report?
<br><br>
"	"1919, recommended conciliation in Egypt
<br><br>

<br><br>
"
"When was Egypt granted nominal independence?
<br><br>
"	"1922 under king fuad, who was anti wafd and pro British (because the waft challenged his position too). Britain retained control over defence, the canal and the Sudan, as well as keeping garrisons and the port of Alexandria
<br><br>

<br><br>
"
"Who did the wafd gain support from?
<br><br>
"	"Following the great uprisings and nominal independence, the wafd remained the dominant political group, gained support from poor people, as well as some terrorist cells on the fringes. This shows nationalism was now nationwide and no longer confined to the educated elite.
<br><br>

<br><br>
"
"When were the arguments over Sudan?
<br><br>
"	"November 1924, and governor general sir Lee stack of the Sudan was assassinated in cairo
<br><br>

<br><br>
"
"When is there a fresh wave of wafd organised protest?
<br><br>
"	"1935 and there was also pressure from Mussolini's expansionism in the Mediterranean so a settlement was needed. Again, this shows how nationalism also posed strategic threat to Britain in the war.
<br><br>

<br><br>
"
"What was the anglo-egyptian treaty?
<br><br>
"	"1936 full independence for Egypt, but Britain still retained control of the Suez Canal zone and garrisons an RAF bases in Egypt and the naval facilities Alexandria due to the fear of Italian aggression from Libya. Although independence being granted demonstrated that nationalist pressures were a significant threat ultimately Britain still retained its key interests prior to the second world war
<br><br>

<br><br>
"
"What happened to Egypt during World War Two
<br><br>
"	"In 1939 the Egyptian government were reluctant to declare war on Germany and king fuad was sympathetic to the axis powers. They were forced by the British in February 1942 pretty much at gunpoint to appoint mustafa al naha, the wafd leader as a Prime Minister as the wafd were now sympathetic to the allies. Demonstrated the extent of influence that Britain could still exert in Egypt
<br><br>

<br><br>
"
"What did Egypt remain as during World War Two
<br><br>
"	"An important strategic location for the British armed forces
<br><br>

<br><br>
"
"What was believed about Iraq
<br><br>
"	"There was an assumption that oil could be found here like Iran
<br><br>

<br><br>
"
"What happened to Iraq after World War One
<br><br>
"	"It became a British administered mandate of the League of Nations which disappointed hopes from Arab nationalists
<br><br>

<br><br>
"
"When were Kurdish uprisings in Iraq?
<br><br>
"	"1919 and 1920 revolt against British rule. the Kurdish uprising was crushed with extreme violence and at great cost of £40 million to the British. As in Egypt there was a use of air power because it was cheaper and believed to be an effective way to keep the peace and prevent uprisings but it only created further resentment
<br><br>

<br><br>
"
"What was decided at the Cairo conference?
<br><br>
"	"1921 Iran granted self rule. This leads to the Anglo Iraqi treaty
<br><br>

<br><br>
"
"What was the 1922 Anglo Iraqi treaty?
<br><br>
"	"1922 King Faisal I (of the Hashemite dynasty) is confirmed as the king of Iraq. Britain retained control of foreign policy and defence and maintained armed forces in the country, and the economic interests in oil remained
<br><br>

<br><br>
"
"When do the kirkuk oil fields open
<br><br>
"	"In 1927. They are run by Turkish oil company but financed by Britain and France and actually has nothing to do with Turkey
<br><br>

<br><br>
"
"What was the 1930 Anglo Iraqi treaty
<br><br>
"	"Consultation between Iraq and Britain on foreign policy, but British mandate had officially ended and king Faisal died too
<br><br>

<br><br>
"
"When does Iraq gain full independence?
<br><br>
"	"1932, although Britain retained much influence through the dominance of the British oil industry, and the RAF retained airbases in the country. This suggests that Iraqi nationalism wasn't much of a threat to the British empire, because once they gained their demands, Britain still had influence.
<br><br>

<br><br>
"
"What happened in 1941 in Iraq
<br><br>
"	"There was a British occupation of Basra in the South in which the Iraqi government asked for help from the axis powers and there was a six week campaign to restore British rule over Iraq. This demonstrated they could still assert their dominance despite Iraq technically being independent
<br><br>

<br><br>
"
"What was Iraqi opinion like by World War Two
<br><br>
"	"It was increasingly anti British because of how they were behaving not only in Iraq but also in Palestine
<br><br>

<br><br>
"
"What was britains extent of influence in Iran
<br><br>
"	"They were never officially in the empire, but it was under British spheres of influence as agreed with Russia in 1907 and there was a British backed shah from 1920 - reza pahlevi
<br><br>

<br><br>
"
"When was oil discovered in Iran
<br><br>
"	"1908 and drilling began in 1909
<br><br>

<br><br>
"
"How many barrels of oil were produced by Iran
<br><br>
"	"In 1909 7.5 million barrels and by 1934 there were 57 million barrels
<br><br>

<br><br>
"
"When is it decided that Iran can be self ruled
<br><br>
"	"In 1921 at the Cairo conference
<br><br>

<br><br>
"
"Quote for James about British dominance in the Middle East
<br><br>
"	"'Britain was still the dominant power [in the Middle East] and would go to any lengths to get its way there'
<br><br>

<br><br>
"
"James opinion on British dominance in Middle East
<br><br>
"	"The coup de main in 1941 against Iraq and the palace coup in Cairo nine months later demonstrated that British power was still firm 'despite over 20 years of nationalist ferment'. However these were both actions undertaken in the face of dire emergency by a country fighting for its life
<br><br>

<br><br>
"
"What was the battle of Jerusalem
<br><br>
"	"In 1917 the city falls to British forces led by general Allenby which acts as a key possession to safeguard the eastern Mediterranean and the approaches to suez
<br><br>

<br><br>
"
"What was the Balfour declaration
<br><br>
"	"In 1917 it stated that it would help establish an Israeli state whilst also not infringing on the non Jews already present in Palestine
<br><br>

<br><br>
"
"What happened to Palestine and transjordan in 1919
<br><br>
"	"They became British administered mandates under the League of Nations
<br><br>

<br><br>
"
"When did trans Jordan separate from Palestine under the rule of King Abdullah
<br><br>
"	"1921. Palestine remained under control of the colonial office
<br><br>

<br><br>
"
"What was the Jewish population in Israel during the inter war period
<br><br>
"	"1918: 60,000, 6.8% of the population<br>1931: 175,000, 17.7% of the population<br>1939: 500,000<br>The arab population was only 800,000
<br><br>

<br><br>
"
"What did the Balfour decoration wrongly assume
<br><br>
"	"That it would be easy to find a compromise
<br><br>

<br><br>
"
"Which issues particularly led to an increase in intercommunal tensions in Palestine
<br><br>
"	"Increased immigration of Jews and Jewish purchasing of land
<br><br>

<br><br>
"
"When were there anti Jewish demonstrations in Palestine
<br><br>
"	"In 1920, 1921 and 1929. nearly 900 Jewish settlers were killed or wounded
<br><br>

<br><br>
"
"In 1929-31 what were their unsuccessful attempts to do in Palestine
<br><br>
"	"Curb Jewish land acquisitions
<br><br>

<br><br>
"
"What happens from 1933 onwards in Palestine
<br><br>
"	"Jewish migration accelerates after Hitler appointed chancellor of Germany
<br><br>

<br><br>
"
"When does the Arab revolt begin in Palestine
<br><br>
"	"In 1936 and 20,000 British troops were sent to Palestine to deal with the growing disturbance. It was a revolt against the mandate and growing jewish numbers
<br><br>

<br><br>
"
"What managed to restore public order in Palestine by 1939
<br><br>
"	"Growing repression to deal with unrest from 1937 to 1939
<br><br>

<br><br>
"
"What was proposed in 1939 in Palestine
<br><br>
"	"Jewish immigration restricted to 25,000 per year to ensure the Arabs remained a majority and plans for an independent unified Palestinian state in 10 years
<br><br>

<br><br>
"
"During World War Two how many Jews fled to Palestine from Europe
<br><br>
"	"215,000
<br><br>

<br><br>
"
"What kind of groups were formed by the Jews in Palestine
<br><br>
"	"The formation of haganah and terrorist organisations such as the stern gang to defend and assert jewish rights. they arm themselves and see themselves as freedom fighters
<br><br>

<br><br>
"
"What was there growing Arab sympathy for
<br><br>
"	"For Mussolini and Hitler as challenges to British hegemony and because of their anti Jewish policies
<br><br>

<br><br>
"
"Overall what was the ultimate problem in Palestine
<br><br>
"	"The nationalism itself was directed more at the opposing group but the real problem for the British was rather the unrest and pressure that they had to sort it out
<br><br>

<br><br>
"
"How was nationalism not much of a threat in Africa?
<br><br>
"	"It only really became a problem after World War II, and it only really occurred in the educated elites which was limited due to little development from britain
<br><br>

<br><br>
"
"How did the importance of dominions change?
<br><br>
"	"They became really important to the empire during the interwar period
<br><br>

<br><br>
"
"How did the dominions pose a threat?
<br><br>
"	"They mostly had self government already so posed little significant threat of nationalism, they were bound to England by economic concerns
<br><br>

<br><br>
"
"Which Dominion had problems between the settlers and people who already lived there
<br><br>
"	"South Africa had problems with the boers. There was an uneasy demographic balance and commitment to the Empire could not be relied upon. This posed a threat to the Empire because it was needed on the route to India, especially when the Suez Canal was under threat.
<br><br>

<br><br>
"
