#separator:tab
#html:true
"When was the League of Nations established
<br><br>
"	"10th January 1920
<br><br>

<br><br>
"
"Since when had Chamberlain been rearming Britain
<br><br>
"	"They have been increasing weapons spending to prepare for war since the mid 1930s
<br><br>

<br><br>
"
"When did Germany invade Czechoslovakia
<br><br>
"	"March 1939
<br><br>

<br><br>
"
"What did England and France agree with Poland after Germany invaded Czechoslovakia
<br><br>
"	"March 1939 was the Anglo French guarantee of Polish sovereignty against any act of aggression. this demonstrated the end of appeasement
<br><br>

<br><br>
"
"When was the Nazi Soviet pact
<br><br>
"	"August 1939 - the two countries would not attack each other either independently or alongside other nations
<br><br>

<br><br>
"
"When and why does World War Two begin
<br><br>
"	"As a secret protocol of the Nazi Soviet non aggression pact, they partitioned and invaded Poland on the 29th of September 1939, and so World War Two begins because of the Anglo French promise to protect Polish sovereignty
<br><br>

<br><br>
"
"Which parts of the empire declared war on Germany
<br><br>
"	"All of the dominions apart from Ireland, and the viceroy declares war on behalf of india. This demonstrates that the empire was able to help with strategic threats
<br><br>

<br><br>
"
"What does Germany do in 1940
<br><br>
"	"Invades Denmark, Norway, the Netherlands, Belgium and France
<br><br>

<br><br>
"
"When does France surrender to Germany?
<br><br>
"	"June 1940
<br><br>

<br><br>
"
"What happens immediately after the collapse of France
<br><br>
"	"Evacuation of the British Army from Dunkirk, and portrayals of Britain 'alone' start to emerge
<br><br>

<br><br>
"
"When does Japan annex Manchuria and what do they do afterwards
<br><br>
"	"1931, they leave the League of Nations which demonstrated that you could take aggressive actions and then leave which completely undermines the LoN
<br><br>

<br><br>
"
"When does Italy invade abyssinia
<br><br>
"	"In 1936 and this threatens the route to India
<br><br>

<br><br>
"
"What were the economic difficulties in preparing for war
<br><br>
"	"There were difficulties between balancing the budget with defence commitments throughout the world
<br><br>

<br><br>
"
"What reforms were made to defence in the 1930s
<br><br>
"	"Home defence over imperial defence was prioritised as the German threat seemed to grow and development of the RAF was prioritised in particular
<br><br>

<br><br>
"
"Why was there a strategic overstretch
<br><br>
"	"Because of threats in the Far East from Japan, the Mediterranean from Italy and in Europe from Germany
<br><br>

<br><br>
"
"How much money was spent on strengthening the Singapore naval base
<br><br>
"	"£25 million and it was constructed between 1923 to 1937 but it was limited in its effectiveness
<br><br>

<br><br>
"
"What was britain's attitude to using manpower
<br><br>
"	"After losing almost a million men in World War One the aim was to use technology and machinery rather than manpower and so money was fuelled into defence and development
<br><br>

<br><br>
"
"How many aircrafts were produced in 1938
<br><br>
"	"7940 by Britain, 8295 by Germany and 2195 by America
<br><br>

<br><br>
"
"What kind of aircraft and technology was Britain making
<br><br>
"	"Hurricanes and Spitfire and long range bombers, as well as the development of radar, invented in 1935
<br><br>

<br><br>
"
"How had Britain initially planned for World War II to go and why did this not work out
<br><br>
"	"They had planned for a similar course to World War One with French on land and Britain to use Navy and air power, but in June 1940 the French surrendered and Hitler then invaded loads of Europe
<br><br>

<br><br>
"
"When was Dunkirk
<br><br>
"	"May-June 1940
<br><br>

<br><br>
"
"In Dunkirk how many men were carried back across the channel
<br><br>
"	"300,000
<br><br>

<br><br>
"
"What was the impact of Dunkirk
<br><br>
"	"It was unbelievably humiliating, the French surrender and Britain felt as if they were now in a very vulnerable position. Germany now dominated the continent, and Britain felt at risk of invasion from Germany
<br><br>

<br><br>
"
"Why did the evacuation of Dunkirk happen?
<br><br>
"	"Because Germany invaded France and pushed the british forces back to the port of Dunkirk
<br><br>

<br><br>
"
"What was the feeling of vulnerability post-Dunkirk described as
<br><br>
"	"Strategic abyss
<br><br>

<br><br>
"
"What does historian James argue about the strategic weakness of the empire
<br><br>
"	"That the government now had to respond to a much larger electorate who cared for passivism which prevented the government from eliminating the fascist threat. 'the empire's strategic weakness was lamely accepted as a fact of life'
<br><br>

<br><br>
"
"What were the key threats to the empire towards the end of the inter war period (6 points)
<br><br>
"	"The empire was stretched too thinly; The damage of the Great Depression; Nationalist pressures; main problem of Germany but also Japan and Italy; The appeasement policy did not help at all and made Britain vulnerable; And the loss of the Soviet Union until 1941
<br><br>

<br><br>
"
"What suggested the empire was not that weak
<br><br>
"	"They still had the dominions and India, however the nationalist pressures in India meant this was unreliable. The idea of strategic abyss was also played up and quite dramatic
<br><br>

<br><br>
"
